Nodes,Generators
3,1 2
4,1 2
5,1 2
6,1 2
7,1 2
8,1 2
9,1 2
10,1 4
11,1 3
13,1 5
25,1 7
41,1 9
61,1 11
85,1 13
113,1 15
145,1 17
181,1 19
221,1 21
265,1 23
313,1 25
365,1 27
421,1 29
481,1 31
545,1 33
613,1 35
685,1 37
761,1 39
841,1 41
925,1 43
1013,1 45
1105,1 47
1201,1 49
1301,1 51
1405,1 53
1513,1 55
1625,1 57
1741,1 59
1861,1 61
1985,1 63
2113,1 65
2245,1 67
2381,1 69
2521,1 71
2665,1 73
2813,1 75
2965,1 77
3121,1 79
3281,1 81
3445,1 83
3613,1 85
3785,1 87
3961,1 89
4141,1 91
4325,1 93
4513,1 95
4705,1 97
4901,1 99
5101,1 101
