#MESH-MESH_XY-DIJKSTRA-2-packet_injection_rate-0.05-1-0.05
packet_injection_rate,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
0.05,53441,53369,53381,5.50938,5.50196,5.5032,0.055032,9699,82,118,6675,0,41.9301,150.667,0.011337
0.1,109487,109143,109367,11.2873,11.2519,11.2749,0.112749,9699,535,775,13670,0,85.7644,893.25,0.0680457
0.15000000000000002,163731,128107,127320,16.8795,13.2069,13.1258,0.131258,9699,986,1824,15920,0,1003.55,7175.57,0.236396
0.2,215586,125306,125103,22.2254,12.9181,12.8972,0.128972,9699,1816,2092,15639,0,1823.64,7951.58,0.253371
0.25,270465,127993,127766,27.883,13.1952,13.1718,0.131718,9699,1418,1774,15971,0,2433.65,8331.06,0.256083
0.3,320909,127661,127603,33.0834,13.1609,13.1549,0.131549,9699,1627,2078,15949,0,2846.16,9044.56,0.256095
0.35000000000000003,373057,127145,127233,38.4595,13.1077,13.1168,0.131168,9699,1535,2087,15903,0,3155.9,8909.06,0.257945
0.4,424440,126056,125948,43.7567,12.9955,12.9843,0.129843,9699,1493,1995,15744,0,3458.22,9000.34,0.256886
0.45,476629,126941,126981,49.137,13.0867,13.0908,0.130908,9699,1623,1883,15878,0,3607.82,9016.9,0.258937
0.5,526565,127037,126973,54.2851,13.0966,13.09,0.1309,9699,1339,1800,15871,0,3810.04,9073.02,0.258892
0.55,575213,125157,125180,59.3003,12.9028,12.9052,0.129052,9699,1579,1911,15650,0,3899.28,8988.51,0.255488
0.6000000000000001,621107,125755,125730,64.0316,12.9644,12.9619,0.129619,9699,1418,1958,15717,0,3913.81,9420.35,0.257308
0.6500000000000001,674777,128233,128167,69.5646,13.2199,13.2131,0.132131,9699,2297,2730,16022,0,4013.31,9552.49,0.257804
0.7000000000000001,720524,127844,127913,74.2808,13.1798,13.1869,0.131869,9699,1501,1939,15990,0,4073.95,9298.87,0.257311
0.7500000000000001,767748,126700,126719,79.1493,13.0619,13.0638,0.130638,9699,1625,2525,15843,0,4191.9,9434.25,0.256184
0.8,812332,127492,127469,83.7456,13.1435,13.1411,0.131411,9699,1439,2772,15934,0,4215.21,9462.68,0.256819
0.8500000000000001,859415,127239,127187,88.5995,13.1174,13.1121,0.131121,9699,1087,2258,15898,0,4282.55,9432.96,0.257874
0.9000000000000001,904326,128542,128459,93.2295,13.2518,13.2432,0.132432,9699,1790,2105,16062,0,4329.14,9453.78,0.258198
0.9500000000000001,952440,128416,128223,98.1897,13.2388,13.2189,0.132189,9699,1442,2827,16028,0,4332.96,9623.41,0.258312
1.0,993566,126630,126628,102.429,13.0546,13.0544,0.130544,9699,2089,2599,15828,0,4382.38,9505.73,0.258276
