#MESH-TABLE_BASED-DIJKSTRA-2-packet_injection_rate-0.05-1-0.01
packet_injection_rate,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
0.05,53393,53321,53417,5.50443,5.49701,5.50691,0.0550691,9699,66,104,6675,0,41.3545,145.2,0.010701
0.060000000000000005,64948,64852,64834,6.69567,6.68577,6.68392,0.0668392,9699,80,146,8103,0,44.6256,171.667,0.0153496
0.07,75840,75752,75823,7.81856,7.80948,7.8168,0.078168,9699,96,129,9479,0,47.6874,159.75,0.0205046
0.08000000000000002,87382,87166,87166,9.00845,8.98619,8.98619,0.0898619,9699,75,149,10899,0,52.2057,191.778,0.0280712
0.09000000000000001,98748,98540,98615,10.1802,10.1588,10.1665,0.101665,9699,156,210,12330,0,59.5605,246.833,0.0404866
0.1,108926,75806,73601,11.2295,7.81505,7.58773,0.0758773,7056,3495,3536,9207,0,73.8461,356.667,0.159083
0.11000000000000001,118747,25563,23495,12.242,2.63536,2.42216,0.0242216,2377,7923,8193,2947,0,111.53,490.268,0.318662
0.12000000000000001,130676,11668,9467,13.4718,1.20289,0.975979,0.00975979,1169,9110,9242,1193,0,122.525,646.5,0.376932
0.13,140945,5329,3427,14.5304,0.549381,0.353299,0.00353299,712,9625,9771,438,0,122.245,458,0.382845
0.14,153699,4699,2952,15.8453,0.484433,0.30433,0.0030433,368,9686,9782,378,0,103.941,278.556,0.364324
0.15000000000000002,164171,4771,3104,16.9248,0.491856,0.32,0.0032,441,9690,9782,401,0,142.491,460.464,0.389368
0.16000000000000003,174010,2074,867,17.9392,0.213814,0.0893814,0.000893814,268,9700,9910,117,0,133.14,277.167,0.3963
0.17000000000000004,183905,2529,1474,18.9593,0.260722,0.151959,0.00151959,255,9699,9905,193,0,163.955,376.5,0.407737
0.18000000000000005,195158,1166,539,20.1194,0.120206,0.055567,0.00055567,218,9700,9950,71,0,168.978,330.222,0.401792
0.19,205943,1543,909,21.2312,0.159072,0.0937113,0.000937113,208,9700,9960,121,0,170.703,361.625,0.396493
0.2,217875,427,72,22.4613,0.0440206,0.00742268,7.42268e-05,65,9700,9962,11,0,142.416,278.5,0.402175
0.21000000000000002,227937,809,214,23.4987,0.0834021,0.0220619,0.000220619,172,9700,9924,32,0,132.111,286.333,0.398599
0.22000000000000003,238288,568,145,24.5658,0.0585567,0.0149485,0.000149485,57,9700,9954,20,0,163.76,314.4,0.424889
0.23000000000000004,249177,809,395,25.6884,0.0834021,0.0407216,0.000407216,185,9700,9974,54,0,202.458,369.111,0.414397
0.24000000000000005,259831,95,9,26.7867,0.00979381,0.000927835,9.27835e-06,16,9700,9992,2,0,159,200,0.408858
0.25000000000000006,268562,130,9,27.6868,0.0134021,0.000927835,9.27835e-06,33,9700,9994,2,0,116.125,211.25,0.388836
0.26000000000000006,278823,343,122,28.7446,0.0353608,0.0125773,0.000125773,103,9700,9972,18,0,217.114,329,0.421663
0.27,290092,76,35,29.9064,0.00783505,0.00360825,3.60825e-05,33,9700,9981,6,0,228.222,285,0.408382
0.28,300023,55,26,30.9302,0.0056701,0.00268041,2.68041e-05,21,9700,9976,7,0,146.719,247.286,0.415212
0.29000000000000004,310861,53,0,32.0475,0.00546392,0,0,0,9700,9983,0,0,-nan(ind),-1,0.40917
0.30000000000000004,322056,16,0,33.2016,0.00164948,0,0,0,9698,9981,0,0,-nan(ind),-1,0.406164
0.31000000000000005,331847,63,8,34.211,0.00649485,0.000824742,8.24742e-06,16,9700,9996,1,0,145,145,0.424412
0.32000000000000006,342688,24,0,35.3287,0.00247423,0,0,0,9700,9995,0,0,-nan(ind),-1,0.410294
0.33,353152,40,38,36.4074,0.00412371,0.00391753,3.91753e-05,57,9688,9995,5,0,294.4,326.333,0.41536
0.34,363440,0,0,37.468,0,0,0,0,0,9995,0,0,-nan(ind),-1,0.41455
0.35000000000000003,374200,0,0,38.5773,0,0,0,0,0,9993,0,0,-nan(ind),-1,0.419853
0.36000000000000004,385824,48,24,39.7757,0.00494845,0.00247423,2.47423e-05,41,9700,9991,3,0,270.5,292,0.425176
0.37000000000000005,396470,14,9,40.8732,0.0014433,0.000927835,9.27835e-06,8,9691,9998,2,0,234.375,235.75,0.430759
0.38000000000000006,404520,0,0,41.7031,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.427179
0.39000000000000007,414408,0,1,42.7225,0,0.000103093,1.03093e-06,1,9700,9984,1,0,163.25,163.25,0.431262
0.4000000000000001,424353,49,62,43.7477,0.00505155,0.00639175,6.39175e-05,100,9698,9996,9,0,268.276,334.05,0.426075
0.4100000000000001,437500,116,50,45.1031,0.0119588,0.00515464,5.15464e-05,78,9700,9996,8,0,288.097,320,0.413701
0.42000000000000004,447918,6,5,46.1771,0.000618557,0.000515464,5.15464e-06,9,9700,9996,1,0,157,157,0.412439
0.43000000000000005,455238,6,0,46.9318,0.000618557,0,0,0,9700,9991,0,0,-nan(ind),-1,0.433599
0.44000000000000006,467717,5,0,48.2182,0.000515464,0,0,0,9700,9992,0,0,-nan(ind),-1,0.424853
0.45000000000000007,474888,0,0,48.9575,0,0,0,0,0,9992,0,0,-nan(ind),-1,0.409981
0.4600000000000001,485244,4,0,50.0252,0.000412371,0,0,0,9699,9997,0,0,-nan(ind),-1,0.426972
0.4700000000000001,498688,0,0,51.4111,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.422718
0.4800000000000001,505448,0,0,52.108,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.419427
0.49000000000000005,515704,0,0,53.1654,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.428122
0.5000000000000001,525316,4,0,54.1563,0.000412371,0,0,0,9699,9999,0,0,-nan(ind),-1,0.413072
0.5100000000000001,538832,0,7,55.5497,0,0.000721649,7.21649e-06,13,2,9997,1,0,231,231,0.435828
0.5200000000000001,544984,0,0,56.1839,0,0,0,0,0,9997,0,0,-nan(ind),-1,0.420964
0.5300000000000001,555200,0,0,57.2371,0,0,0,0,0,9999,0,0,-nan(ind),-1,0.417587
0.5400000000000001,568096,0,0,58.5666,0,0,0,0,0,9999,0,0,-nan(ind),-1,0.419958
0.5500000000000002,578040,0,0,59.5918,0,0,0,0,0,9999,0,0,-nan(ind),-1,0.418778
0.5600000000000002,587384,0,0,60.5551,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.441758
0.5700000000000002,598034,50,8,61.653,0.00515464,0.000824742,8.24742e-06,30,9700,9999,1,0,279.375,279.375,0.433157
0.5800000000000002,608029,13,32,62.6834,0.00134021,0.00329897,3.29897e-05,49,9699,9996,4,0,277.842,330.6,0.43378
0.5900000000000002,616840,0,0,63.5918,0,0,0,0,0,9990,0,0,-nan(ind),-1,0.432662
0.6000000000000002,623433,1,0,64.2714,0.000103093,0,0,0,9700,9999,0,0,-nan(ind),-1,0.433601
0.6100000000000001,636584,0,0,65.6272,0,0,0,0,9700,9998,0,0,-nan(ind),-1,0.437394
0.6200000000000001,644704,0,0,66.4643,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.429919
0.6300000000000001,656318,6,0,67.6616,0.000618557,0,0,0,9700,9998,0,0,-nan(ind),-1,0.416577
0.6400000000000001,663400,0,0,68.3918,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.436261
0.6500000000000001,673217,1,3,69.4038,0.000103093,0.000309278,3.09278e-06,5,9700,9998,1,0,231,231,0.435243
0.6600000000000001,685424,0,0,70.6623,0,0,0,0,0,9996,0,0,-nan(ind),-1,0.434143
0.6700000000000002,694696,0,0,71.6181,0,0,0,0,0,9996,0,0,-nan(ind),-1,0.418241
0.6800000000000002,703178,2,6,72.4926,0.000206186,0.000618557,6.18557e-06,11,9698,10000,1,0,262.889,262.889,0.43964
0.6900000000000002,711520,0,0,73.3526,0,0,0,0,0,9999,0,0,-nan(ind),-1,0.403329
0.7000000000000002,721144,0,0,74.3447,0,0,0,0,0,10000,0,0,-nan(ind),-1,0.428938
0.7100000000000002,731512,0,0,75.4136,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.412803
0.7200000000000002,740592,0,0,76.3497,0,0,0,0,0,10000,0,0,-nan(ind),-1,0.42735
0.7300000000000002,750232,0,0,77.3435,0,0,0,0,0,9997,0,0,-nan(ind),-1,0.410413
0.7400000000000002,759872,0,0,78.3373,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.42006
0.7500000000000002,768968,0,0,79.2751,0,0,0,0,0,9997,0,0,-nan(ind),-1,0.424622
0.7600000000000002,778792,0,0,80.2878,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.420697
0.7700000000000002,787576,0,0,81.1934,0,0,0,0,0,10000,0,0,-nan(ind),-1,0.426961
0.7800000000000001,796488,0,0,82.1122,0,0,0,0,0,9998,0,0,-nan(ind),-1,0.421674
