#MESH-TABLE_BASED-UP_DOWN-2-packet_injection_rate-0.05-1-0.05
packet_injection_rate,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
0.05,53646,53566,53636,5.53052,5.52227,5.52948,0.0552948,9699,68,139,6706,0,43.1484,162.5,0.0122121
0.1,109170,104794,103817,11.2546,10.8035,10.7028,0.107028,9699,1402,2195,12979,0,272.62,5148.49,0.159487
0.15000000000000002,163958,73166,72389,16.9029,7.54289,7.46278,0.0746278,9699,7033,8824,9051,0,1555.01,9184.05,0.281963
0.2,217537,65401,65211,22.4265,6.74237,6.72278,0.0672278,9699,9700,9870,8152,0,2284.17,9461.11,0.297276
0.25,269922,63994,63826,27.827,6.59732,6.58,0.0658,9699,5613,9885,7980,0,2864.09,9552.55,0.29696
0.3,321279,61527,61574,33.1215,6.34299,6.34784,0.0634784,9699,9638,9929,7696,0,3237.38,9681.34,0.298534
0.35000000000000003,375562,65994,66115,38.7177,6.80351,6.81598,0.0681598,9699,6505,9936,8267,0,3463.48,9722.62,0.30207
0.4,426308,64684,64668,43.9493,6.66845,6.6668,0.066668,9699,7050,9942,8085,0,3565.41,9701.78,0.301234
0.45,478650,61242,61485,49.3454,6.31361,6.33866,0.0633866,9699,6567,9941,7686,0,3644.76,9717.68,0.296827
0.5,527059,60579,60755,54.336,6.24526,6.2634,0.062634,9699,9565,9969,7595,0,3890.96,9697.42,0.298998
0.55,572912,63552,63683,59.0631,6.55175,6.56526,0.0656526,9699,7052,9966,7965,0,4037.32,9839.85,0.30094
0.6000000000000001,624376,65048,65158,64.3687,6.70598,6.71732,0.0671732,9699,9679,9956,8144,0,4097.99,9867.41,0.301758
0.6500000000000001,675469,62581,62524,69.636,6.45165,6.44577,0.0644577,9699,4654,9960,7816,0,4305.33,9758.76,0.298921
0.7000000000000001,722462,62726,62807,74.4806,6.4666,6.47495,0.0647495,9699,4907,9951,7847,0,4293.22,9806.99,0.299066
0.7500000000000001,768941,65581,65418,79.2723,6.76093,6.74412,0.0674412,9699,9028,9982,8172,0,4455.14,9868.25,0.299077
0.8,815495,63063,63167,84.0716,6.50134,6.51206,0.0651206,9699,8420,9952,7899,0,4387.72,9953.78,0.302415
0.8500000000000001,860334,64470,64766,88.6942,6.64639,6.67691,0.0667691,9699,6209,9949,8097,0,4404.6,9884.62,0.300344
0.9000000000000001,905044,64276,64364,93.3035,6.62639,6.63546,0.0663546,9699,6734,9981,8048,0,4497.78,9940.3,0.303456
0.9500000000000001,951609,65201,65349,98.104,6.72175,6.73701,0.0673701,9699,9551,9985,8171,0,4506.78,9823.79,0.300574
1.0,995070,61830,61714,102.585,6.37423,6.36227,0.0636227,9699,7055,9952,7714,0,4502.58,9891.97,0.299288
