#MESH-MESH_XY-DIJKSTRA-topology_args-2-40-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
4,2394,2394,2397,0.246804,0.246804,0.247113,0.0617784,9658,17,22,300,0,25.1532,68.6,0.014675
9,5042,5026,5022,0.519794,0.518144,0.517732,0.0575258,9699,34,58,628,0,26.6871,96.8333,0.0153713
16,8815,8751,8737,0.908763,0.902165,0.900722,0.0562951,9699,44,50,1092,0,28.379,98.6,0.0169617
25,13593,13585,13595,1.40134,1.40052,1.40155,0.0560619,9699,58,85,1700,0,30.9986,99,0.020986
36,19500,19452,19455,2.01031,2.00536,2.00567,0.0557131,9699,64,79,2431,0,33.3997,105,0.0235216
49,26270,26238,26227,2.70825,2.70495,2.70381,0.0551799,9699,125,138,3279,0,35.5849,179.5,0.0264684
64,35076,35036,35061,3.61608,3.61196,3.61454,0.0564771,9699,210,231,4382,0,40.4264,301.5,0.033122
81,44046,43974,44007,4.54082,4.5334,4.5368,0.0560099,9699,128,166,5503,0,41.9448,229.5,0.0358161
100,53884,53756,53793,5.55505,5.54186,5.54567,0.0554567,9699,198,246,6728,0,45.7201,285.75,0.0412166
121,66215,65983,65937,6.82629,6.80237,6.79763,0.0561788,9699,210,266,8243,0,50.671,344.8,0.0483848
144,79000,78776,78801,8.14433,8.12124,8.12381,0.0564154,9699,234,355,9851,0,58.2455,599.4,0.0580859
169,90361,90041,90082,9.31557,9.28258,9.2868,0.0549515,9699,327,401,11256,0,60.668,531,0.0598282
196,107521,106881,106785,11.0846,11.0187,11.0088,0.0561672,9699,468,533,13338,0,73.2626,647.5,0.0747034
225,123218,122618,122471,12.7029,12.641,12.6259,0.056115,9699,709,958,15308,0,97.6045,1084.08,0.0914149
256,141407,139199,138979,14.578,14.3504,14.3277,0.0559677,9699,1364,1445,17375,0,135.051,2261.59,0.112616
289,159723,156163,155806,16.4663,16.0993,16.0625,0.0555795,9699,1334,1655,19473,0,206.196,3679.25,0.136122
324,178065,168865,168239,18.3572,17.4088,17.3442,0.0535316,9699,2174,2563,21032,0,313.565,6289.59,0.157349
361,199933,182821,182275,20.6116,18.8475,18.7912,0.0520533,9699,4153,4157,22782,0,451.724,5458.44,0.178263
400,218752,194552,193862,22.5518,20.0569,19.9858,0.0499644,9699,2930,3486,24226,0,476.318,7947.01,0.182964
441,246163,204339,203425,25.3776,21.0659,20.9716,0.0475548,9699,6247,6990,25421,0,640.557,8596.43,0.199698
484,268844,218068,217123,27.7159,22.4812,22.3838,0.0462476,9699,5123,5143,27135,0,696.767,8736.43,0.202002
529,291274,226074,225156,30.0282,23.3066,23.212,0.0438789,9699,8184,8578,28143,0,779.298,9143.2,0.207664
576,319955,236899,236152,32.9851,24.4226,24.3456,0.0422666,9699,7899,8243,29520,0,861.468,8584.95,0.213983
625,348172,243132,242162,35.894,25.0652,24.9652,0.0399442,9699,9397,9743,30272,0,907.939,9341.58,0.218992
676,376209,255825,254700,38.7844,26.3737,26.2577,0.0388428,9699,9474,9746,31842,0,949.051,9444.76,0.218447
729,403828,267900,266741,41.6318,27.6186,27.4991,0.0377216,9699,9636,9748,33336,0,970.049,9416.25,0.220482
784,434823,278487,277521,44.8271,28.71,28.6104,0.0364929,9699,9599,9881,34689,0,997.986,9325.76,0.221612
841,466770,288906,287816,48.1206,29.7841,29.6718,0.0352815,9699,9574,9929,35986,0,1054.84,9563.19,0.225103
900,502278,301134,299963,51.7812,31.0447,30.924,0.03436,9699,9639,9897,37497,0,1119.16,9618,0.226453
961,541062,311262,309986,55.7796,32.0889,31.9573,0.0332542,9699,9698,9963,38747,0,1113.29,9370.41,0.228014
1024,571712,320480,319092,58.9394,33.0392,32.8961,0.0321251,9699,9694,9887,39892,0,1200.6,9370.14,0.230861
1089,605487,327663,326290,62.4213,33.7797,33.6381,0.030889,9699,9694,9960,40786,0,1208.77,9623.73,0.230129
1156,643593,339857,338916,66.3498,35.0368,34.9398,0.0302247,9699,9697,9914,42363,0,1180.32,9436.33,0.230763
1225,684210,352386,350983,70.5371,36.3285,36.1838,0.0295378,9699,9693,9925,43876,0,1203.82,9709,0.232779
1296,721446,362374,360858,74.3759,37.3581,37.2019,0.0287051,9699,9699,9948,45105,0,1245.51,9681,0.232511
1369,764842,373802,372131,78.8497,38.5363,38.364,0.0280234,9699,9700,9976,46511,0,1249.24,9482.06,0.232306
1444,808154,384314,382684,83.3148,39.62,39.452,0.0273213,9699,9696,9966,47837,0,1284.31,9561.59,0.234178
1521,854248,393472,391978,88.0668,40.5641,40.4101,0.0265681,9699,9698,9963,49004,0,1289.3,9563,0.233867
1600,894716,403436,401821,92.2388,41.5913,41.4248,0.0258905,9699,9700,9988,50237,0,1322.74,9774,0.235524
