#TORUS-TABLE_BASED-DIJKSTRA-2-packet_injection_rate-0.05-1-0.05
packet_injection_rate,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
0.05,53569,53497,53540,5.52258,5.51515,5.51959,0.0551959,9699,46,66,6691,0,34.6262,102.667,0.00678942
0.1,109473,109305,109300,11.2859,11.2686,11.268,0.11268,9699,65,114,13661,0,42.7114,161.382,0.0220119
0.15000000000000002,162997,162661,162595,16.8038,16.7692,16.7624,0.167624,9699,205,258,20323,0,56.8698,285.5,0.055567
0.2,216926,43326,40763,22.3635,4.4666,4.20237,0.0420237,2253,7916,8230,5114,0,126.407,677.778,0.398867
0.25,267414,8502,7028,27.5685,0.876495,0.724536,0.00724536,507,9595,9692,903,0,167.244,599.862,0.440977
0.3,319205,2413,1733,32.9077,0.248763,0.17866,0.0017866,243,9700,9888,233,0,173.909,359.083,0.447134
0.35000000000000003,371413,1253,965,38.29,0.129175,0.0994845,0.000994845,241,9700,9968,128,0,254.836,428.75,0.465772
0.4,420938,546,514,43.3957,0.0562887,0.0529897,0.000529897,133,9700,9942,76,0,212.786,354.667,0.451061
0.45,475817,1345,1244,49.0533,0.13866,0.128247,0.00128247,250,9700,9955,161,0,282.396,481.234,0.457061
0.5,526389,53,41,54.2669,0.00546392,0.0042268,4.2268e-05,45,9700,9969,6,0,229.687,313.756,0.450254
0.55,575257,153,202,59.3048,0.0157732,0.0208247,0.000208247,79,9700,9984,28,0,250.254,315.389,0.447489
0.6000000000000001,620180,188,157,63.9361,0.0193814,0.0161856,0.000161856,65,9700,9959,27,0,232.079,296.541,0.46664
0.6500000000000001,673573,37,62,69.4405,0.00381443,0.00639175,6.39175e-05,28,9700,9970,10,0,253.116,300.444,0.455921
0.7000000000000001,717657,785,777,73.9853,0.0809278,0.0801031,0.000801031,183,9700,9982,104,0,308.933,430,0.465358
0.7500000000000001,766983,23,12,79.0704,0.00237113,0.00123711,1.23711e-05,9,9700,9967,3,0,197.465,257,0.462629
0.8,812165,685,628,83.7284,0.0706186,0.0647423,0.000647423,105,9700,9981,87,0,279.766,357.736,0.462339
0.8500000000000001,857576,456,498,88.4099,0.0470103,0.0513402,0.000513402,189,9700,9988,67,0,306.771,417.358,0.451925
0.9000000000000001,903454,1214,1202,93.1396,0.125155,0.123918,0.00123918,305,9700,9966,154,0,378.087,556.621,0.449002
0.9500000000000001,948083,19,8,97.7405,0.00195876,0.000824742,8.24742e-06,8,9700,9983,2,0,227.703,270.406,0.467862
1.0,991204,516,392,102.186,0.0531959,0.0404124,0.000404124,113,9700,9984,51,0,319.964,385,0.46847
