#TORUS-TABLE_BASED-MESH_XY-2-packet_injection_rate-0.05-1-0.05
packet_injection_rate,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
0.05,53441,53369,53384,5.50938,5.50196,5.50351,0.0550351,9699,68,118,6674,0,41.923,150.667,0.0106585
0.1,110445,110165,110190,11.3861,11.3572,11.3598,0.113598,9699,383,613,13771,0,86.2849,700.344,0.068793
0.15000000000000002,162692,127876,127204,16.7724,13.1831,13.1138,0.131138,9699,1682,3139,15903,0,903.057,7160.13,0.219947
0.2,216619,126915,126650,22.3319,13.084,13.0567,0.130567,9699,1878,2401,15831,0,1821.98,8135.74,0.236127
0.25,268391,127591,127452,27.6692,13.1537,13.1394,0.131394,9699,1390,2138,15925,0,2398.09,8722.03,0.238404
0.3,320870,127310,127303,33.0794,13.1247,13.124,0.13124,9699,1961,2507,15912,0,2799.64,9135.27,0.241489
0.35000000000000003,376099,127619,127580,38.7731,13.1566,13.1526,0.131526,9699,1823,2677,15956,0,3118.6,9061.95,0.238399
0.4,425629,127397,127665,43.8793,13.1337,13.1613,0.131613,9699,1677,2648,15958,0,3348.5,8968.88,0.237697
0.45,476076,126452,126530,49.08,13.0363,13.0443,0.130443,9699,1763,2320,15816,0,3572.35,9309.83,0.244085
0.5,528319,127503,127487,54.4659,13.1446,13.143,0.13143,9699,1919,2631,15938,0,3732.26,9371.62,0.24086
0.55,576392,127920,127929,59.4219,13.1876,13.1886,0.131886,9699,1397,2040,15993,0,3785.21,9258.11,0.242011
0.6000000000000001,623803,129355,129251,64.3096,13.3356,13.3248,0.133248,9699,1273,1932,16149,0,3952.74,9414.71,0.241734
0.6500000000000001,671004,127052,127018,69.1757,13.0981,13.0946,0.130946,9699,1327,1958,15876,0,4040.77,9327.46,0.239785
0.7000000000000001,723806,126550,126554,74.6192,13.0464,13.0468,0.130468,9699,2056,3099,15822,0,4136.33,9215.88,0.239238
0.7500000000000001,768701,127717,127668,79.2475,13.1667,13.1616,0.131616,9699,1540,1900,15959,0,4129.52,9400.08,0.241255
0.8,811195,126779,126880,83.6284,13.07,13.0804,0.130804,9699,1501,2390,15855,0,4220.11,9530.29,0.240999
0.8500000000000001,856905,127017,127219,88.3407,13.0945,13.1154,0.131154,9699,1422,2296,15903,0,4264.43,9583.75,0.241005
0.9000000000000001,904980,126908,126862,93.2969,13.0833,13.0786,0.130786,9699,1634,2074,15859,0,4279.78,9607.55,0.240572
0.9500000000000001,948839,127295,127197,97.8185,13.1232,13.1131,0.131131,9699,2199,2452,15903,0,4350.61,9568.18,0.244175
1.0,992978,123218,123273,102.369,12.7029,12.7086,0.127086,9699,1706,2417,15409,0,4396.09,9607.07,0.236827
