#topology_args-4-25-2
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
16,9033,8969,8963,0.912424,0.90596,0.905354,0.0565846,9899,44,50,1121,0,28.3567,98.6,0.0169617
36,20030,19982,19982,2.02323,2.01838,2.01838,0.0560662,9899,64,79,2497,0,33.5101,119.75,0.0235216
64,35858,35818,35854,3.62202,3.61798,3.62162,0.0565878,9899,210,231,4484,0,40.4208,301.5,0.033122
100,55076,54948,54968,5.56323,5.5503,5.55232,0.0555232,9899,198,246,6872,0,45.7347,285.75,0.0412166
144,80391,80167,80157,8.1203,8.09768,8.09667,0.0562269,9899,234,355,10020,0,58.2217,599.4,0.0580859
196,109614,108974,108821,11.0721,11.0075,10.992,0.0560817,9899,468,533,13597,0,72.9302,647.5,0.0747034
256,144052,141844,141498,14.5507,14.3277,14.2927,0.055831,9899,1364,1445,17685,0,133.868,2261.59,0.112616
324,181249,172049,171402,18.308,17.3787,17.3133,0.0534362,9899,2174,2563,21423,0,309.175,6289.59,0.157349
400,222808,198608,197611,22.5059,20.0614,19.9607,0.0499018,9899,2930,3486,24700,0,468.564,7947.01,0.182964
484,273469,222693,221368,27.6231,22.4942,22.3604,0.0461992,9899,5123,5143,27669,0,684.836,8736.43,0.202002
576,325581,242525,241031,32.887,24.4975,24.3466,0.0422683,9899,7899,8243,30128,0,845.823,8584.95,0.213983
676,382318,261934,260230,38.618,26.458,26.2859,0.0388844,9899,9474,9746,32525,0,930.948,9444.76,0.218447
