#CIRCULANT-RING_SPLIT-CIRCULANT_ADAPTIVE-2-topology_args-0-37-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
3,1928,1928,1930,0.198763,0.198763,0.198969,0.066323,9695,17,21,242,0,23.8131,68.625,0.00826
4,2458,2458,2460,0.253402,0.253402,0.253608,0.0634021,9656,17,21,308,0,24.726,68.6,0.008165
5,2984,2984,2984,0.307629,0.307629,0.307629,0.0615258,9699,17,21,373,0,24.0512,63.25,0.00724
6,3384,3384,3383,0.348866,0.348866,0.348763,0.0581271,9698,46,50,422,0,24.6719,83.8,0.00826667
7,3823,3775,3770,0.394124,0.389175,0.38866,0.0555228,9698,20,29,471,0,23.7387,63.6667,0.00779929
8,4111,4103,4100,0.423814,0.42299,0.42268,0.0528351,9698,17,36,512,0,24.5732,82.75,0.008075
9,5018,5002,5000,0.51732,0.51567,0.515464,0.0572738,9699,35,40,625,0,25.7499,94.8333,0.00954333
10,5632,5624,5625,0.580619,0.579794,0.579897,0.0579897,9686,31,37,704,0,26.1431,100.8,0.0095975
11,5946,5930,5928,0.61299,0.61134,0.611134,0.0555576,9699,49,55,740,0,25.6707,87,0.00969545
13,6918,6870,6870,0.713196,0.708247,0.708247,0.0544806,9699,40,46,859,0,24.9141,86.75,0.00941538
25,13534,13478,13492,1.39526,1.38948,1.39093,0.0556371,9699,40,59,1688,0,27.5179,84.8333,0.012753
41,22222,22190,22187,2.29093,2.28763,2.28732,0.0557883,9699,59,108,2775,0,29.584,123.925,0.0158552
61,32597,32485,32471,3.36052,3.34897,3.34753,0.0548775,9699,104,117,4059,0,32.7054,150.815,0.0197387
85,45670,45534,45515,4.70825,4.69423,4.69227,0.0552032,9699,62,84,5690,0,34.7679,131.8,0.0234739
113,60962,52218,51716,6.28474,5.3833,5.33155,0.0471818,9158,1829,1838,6468,0,37.8593,262.5,0.0578435
145,79306,56362,55693,8.17588,5.81052,5.74155,0.0395969,7905,3106,3119,6971,0,40.4543,195.5,0.0980928
181,98764,78916,77937,10.1819,8.13567,8.03474,0.0443908,8888,2327,2337,9754,0,45.1562,247.5,0.0922842
221,123311,19831,18635,12.7125,2.04443,1.92113,0.00869291,2274,8597,8623,2338,0,53.4998,379.5,0.278661
265,147528,8024,6556,15.2091,0.827216,0.675876,0.00255048,1480,9479,9536,831,0,47.4217,156,0.320927
313,172898,2746,1474,17.8245,0.283093,0.151959,0.000485491,1524,9700,9994,197,0,56.5415,257.25,0.343217
365,203957,8165,6314,21.0265,0.841753,0.650928,0.00178336,806,9671,9737,807,0,68.2505,349.5,0.338165
421,235327,2767,1183,24.2605,0.285258,0.121959,0.000289688,648,9700,9948,158,0,45.9589,158,0.333981
481,268312,6632,4044,27.661,0.683711,0.416907,0.000866751,944,9700,9876,530,0,67.6657,308,0.355272
545,301802,4570,2280,31.1136,0.471134,0.235052,0.000431287,1627,9700,9884,305,0,76.6426,276,0.358931
613,341129,3905,1256,35.1679,0.402577,0.129485,0.000211231,644,9700,9955,170,0,57.4892,207.5,0.373745
685,381096,4352,1467,39.2882,0.44866,0.151237,0.000220784,826,9700,9974,202,0,67.8533,278,0.372174
761,422243,3571,873,43.5302,0.368144,0.09,0.000118265,577,9700,9966,126,0,87.2742,305,0.377451
841,468432,4272,1128,48.292,0.440412,0.116289,0.000138274,513,9700,9998,155,0,79.8325,293,0.37645
925,515831,3463,511,53.1785,0.35701,0.0526804,5.69518e-05,445,9700,9996,68,0,56.826,230,0.38687
1013,563452,4284,1037,58.0878,0.441649,0.106907,0.000105535,317,9700,9986,144,0,97.0966,267,0.386413
1105,615006,3486,444,63.4027,0.359381,0.0457732,4.14237e-05,881,9700,9996,64,0,79.4666,293.5,0.38849
1201,671316,3700,387,69.2078,0.381443,0.0398969,3.32197e-05,342,9700,9999,58,0,66.5934,183,0.390658
1301,723203,3955,427,74.557,0.407732,0.0440206,3.3836e-05,297,9700,9997,61,0,82.071,294.5,0.396604
1405,783770,4506,489,80.801,0.464536,0.0504124,3.58807e-05,289,9700,9992,69,0,88.7995,260,0.400331
1513,847009,4321,379,87.3205,0.445464,0.0390722,2.58243e-05,733,9700,9989,50,0,78.4758,253,0.399382
1625,905354,4210,297,93.3355,0.434021,0.0306186,1.88422e-05,361,9700,9996,47,0,129.862,275,0.411567
1741,970059,3923,194,100.006,0.404433,0.02,1.14877e-05,219,9700,9999,31,0,93.5591,263,0.405295
1861,1044524,3756,108,107.683,0.387216,0.011134,5.98282e-06,321,9700,9999,17,0,51.8529,167,0.403368
