#CIRCULANT-RING_SPLIT-CIRCULANT_CLOCKWISE-2-topology_args-0-37-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
3,1928,1928,1930,0.198763,0.198763,0.198969,0.066323,9695,17,21,242,0,23.8131,68.625,0.00826
4,2458,2458,2460,0.253402,0.253402,0.253608,0.0634021,9656,17,21,308,0,24.726,68.6,0.008165
5,2984,2984,2984,0.307629,0.307629,0.307629,0.0615258,9699,17,21,373,0,24.0512,63.25,0.00724
6,3400,3400,3399,0.350515,0.350515,0.350412,0.0584021,9698,78,82,424,0,24.894,102.5,0.00866667
7,3823,3775,3770,0.394124,0.389175,0.38866,0.0555228,9698,33,37,471,0,24.1313,83.3333,0.00809357
8,4143,4135,4133,0.427113,0.426289,0.426082,0.0532603,9698,28,36,516,0,24.6667,82.75,0.00829563
9,5034,5018,5016,0.518969,0.51732,0.517113,0.057457,9699,32,36,627,0,25.7436,94.8333,0.00961
10,5463,5455,5458,0.563196,0.562371,0.56268,0.056268,9692,23,31,684,0,26.2324,106.413,0.0097435
11,5882,5866,5864,0.606392,0.604742,0.604536,0.0549578,9699,18,28,732,0,25.7207,73,0.00995727
13,7030,6982,6982,0.724742,0.719794,0.719794,0.0553688,9699,55,76,873,0,27.4643,139.875,0.0118296
25,13324,13308,13324,1.37361,1.37196,1.37361,0.0549443,9698,47,60,1666,0,31.3261,130.5,0.0181362
41,22270,22238,22225,2.29588,2.29258,2.29124,0.0558838,9699,112,121,2779,0,35.8722,203.667,0.02552
61,33261,33125,33120,3.42897,3.41495,3.41443,0.0559743,9699,121,190,4139,0,43.2682,227.5,0.0373273
85,46551,39311,39117,4.79907,4.05268,4.03268,0.0474433,9699,2119,2120,4893,0,267.688,3682.43,0.112471
113,61632,35536,35282,6.35381,3.66351,3.63732,0.0321887,9699,4333,4680,4414,0,1569.65,7744.32,0.197466
145,78871,51503,51120,8.13103,5.30959,5.2701,0.0363455,9699,4103,4586,6394,0,1299.28,7153.46,0.195845
181,100607,59759,59320,10.3719,6.16072,6.11546,0.0337871,9699,5438,6678,7412,0,2194.28,7854.82,0.21656
221,123567,68127,67450,12.7389,7.0234,6.95361,0.0314643,9699,3767,6369,8432,0,2278.2,7866.94,0.240344
265,146924,75156,74540,15.1468,7.74804,7.68454,0.0289982,9699,6854,7261,9313,0,2801.18,8657.33,0.221506
313,173632,44872,44953,17.9002,4.62598,4.63433,0.0148062,8308,9502,9620,5627,0,1472.32,7146.5,0.209202
365,202855,79919,79917,20.9129,8.23907,8.23887,0.0225722,9699,7823,8107,9996,0,2465.86,9007.73,0.231184
421,234429,62565,62838,24.1679,6.45,6.47814,0.0153875,8229,9644,9872,7861,0,1815.39,7356.32,0.21802
481,269242,16218,16713,27.7569,1.67196,1.72299,0.0035821,3010,9695,9939,2096,0,650.761,2275,0.209684
545,302804,25364,26003,31.2169,2.61485,2.68072,0.00491876,4648,9698,9869,3263,0,858.433,3126.18,0.214628
613,342542,86958,87540,35.3136,8.96474,9.02474,0.0147223,9699,9699,9964,10953,0,2125.71,9430.33,0.223142
685,381979,90691,91297,39.3793,9.34959,9.41206,0.0137402,9699,9689,9867,11420,0,2303.71,9408.33,0.228443
761,423932,64532,65431,43.7043,6.65278,6.74546,0.00886395,9699,9699,9911,8185,0,2546.26,9317.69,0.221083
841,468608,78864,80249,48.3101,8.13031,8.27309,0.00983721,9699,9700,9926,10046,0,2308.55,9790,0.226232
925,516770,65378,66952,53.2753,6.74,6.90227,0.00746191,9699,9699,9907,8380,0,2235,9741.53,0.224392
1013,563630,61550,63667,58.1062,6.34536,6.56361,0.00647938,9699,9700,9978,7969,0,2477.66,9392,0.229061
1105,615725,98437,100358,63.4768,10.1481,10.3462,0.00936306,9699,9695,9952,12548,0,2135.33,9769.31,0.227254
1201,670498,71778,74279,69.1235,7.39979,7.65763,0.00637604,9699,9696,9965,9288,0,2694.2,9685.5,0.227339
1301,725257,90273,92780,74.7688,9.30649,9.56495,0.007352,9699,9700,9974,11609,0,2091.57,9729,0.228588
1405,785386,82770,85427,80.9676,8.53299,8.80691,0.00626826,9699,9700,9977,10697,0,2520.64,9427.9,0.236817
1513,845486,66334,69980,87.1635,6.83856,7.21443,0.0047683,9699,9700,9969,8766,0,2162.55,9692,0.222252
1625,908046,63030,66988,93.613,6.49794,6.90598,0.00424983,9699,9700,9977,8382,0,1873.24,9781.67,0.224605
1741,975352,72216,76273,100.552,7.44495,7.8632,0.00451648,9699,9700,9961,9554,0,2029.59,9678,0.22523
1861,1036410,84194,88198,106.846,8.67979,9.09258,0.00488586,9699,9700,9983,11039,0,2037.79,9538,0.237029
