#CIRCULANT-RING_SPLIT-CIRCULANT_PAIR_EXCHANGE-2-topology_args-0-37-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
3,1928,1928,1930,0.198763,0.198763,0.198969,0.066323,9695,17,21,242,0,23.8131,68.625,0.00826
4,2458,2458,2460,0.253402,0.253402,0.253608,0.0634021,9656,17,21,308,0,24.726,68.6,0.008165
5,2984,2984,2984,0.307629,0.307629,0.307629,0.0615258,9699,17,21,373,0,24.0512,63.25,0.00724
6,3400,3400,3399,0.350515,0.350515,0.350412,0.0584021,9698,78,82,424,0,24.894,102.5,0.00866667
7,3823,3775,3770,0.394124,0.389175,0.38866,0.0555228,9698,33,37,471,0,24.1313,83.3333,0.00808929
8,4143,4135,4133,0.427113,0.426289,0.426082,0.0532603,9698,28,36,516,0,24.6512,82.75,0.00821812
9,5018,5002,5000,0.51732,0.51567,0.515464,0.0572738,9699,50,72,625,0,26.7681,101.5,0.0101244
10,5868,4,0,0.604948,0.000412371,0,0,0,9699,9978,0,0,-nan(ind),-1,0.207326
11,6438,14,8,0.663711,0.0014433,0.000824742,7.49766e-05,16,9439,9980,1,0,19,19,0.187
13,7354,18,0,0.758144,0.00185567,0,0,0,9647,9984,0,0,-nan(ind),-1,0.248972
25,14046,6,0,1.44804,0.000618557,0,0,0,9700,9992,0,0,-nan(ind),-1,0.260299
41,23274,26,0,2.39938,0.00268041,0,0,0,9668,9987,0,0,-nan(ind),-1,0.262395
61,33402,18,0,3.44351,0.00185567,0,0,0,9647,9997,0,0,-nan(ind),-1,0.264574
85,47260,44,0,4.87216,0.00453608,0,0,0,9693,9998,0,0,-nan(ind),-1,0.285713
113,63454,62,0,6.54165,0.00639175,0,0,0,9687,9999,0,0,-nan(ind),-1,0.270024
145,81508,84,0,8.40289,0.00865979,0,0,0,9700,9999,0,0,-nan(ind),-1,0.287912
181,100535,79,0,10.3644,0.00814433,0,0,0,9700,9999,0,0,-nan(ind),-1,0.288396
221,124277,117,0,12.8121,0.0120619,0,0,0,9700,10000,0,0,-nan(ind),-1,0.289896
265,150064,144,0,15.4705,0.0148454,0,0,0,9699,10000,0,0,-nan(ind),-1,0.293079
313,175770,162,0,18.1206,0.016701,0,0,0,9700,10000,0,0,-nan(ind),-1,0.28845
365,204775,167,0,21.1108,0.0172165,0,0,0,9699,10000,0,0,-nan(ind),-1,0.293613
421,238975,223,0,24.6366,0.0229897,0,0,0,9700,10000,0,0,-nan(ind),-1,0.291288
481,272800,264,0,28.1237,0.0272165,0,0,0,9700,10000,0,0,-nan(ind),-1,0.291848
545,308050,274,0,31.7577,0.0282474,0,0,0,9700,10000,0,0,-nan(ind),-1,0.292341
613,347291,315,0,35.8032,0.0324742,0,0,0,9700,10000,0,0,-nan(ind),-1,0.294361
685,386332,364,0,39.828,0.0375258,0,0,0,9700,10000,0,0,-nan(ind),-1,0.292275
761,429086,374,0,44.2357,0.0385567,0,0,0,9699,10000,0,0,-nan(ind),-1,0.291586
841,475328,480,0,49.0029,0.0494845,0,0,0,9700,10000,0,0,-nan(ind),-1,0.291182
925,523143,463,0,53.9323,0.047732,0,0,0,9700,10000,0,0,-nan(ind),-1,0.291933
1013,573843,523,0,59.1591,0.0539175,0,0,0,9700,10000,0,0,-nan(ind),-1,0.29459
1105,624554,506,0,64.387,0.0521649,0,0,0,9700,10000,0,0,-nan(ind),-1,0.294912
1201,677465,585,0,69.8418,0.0603093,0,0,0,9700,10000,0,0,-nan(ind),-1,0.294259
1301,733337,665,0,75.6018,0.0685567,0,0,0,9700,10000,0,0,-nan(ind),-1,0.294723
1405,793410,714,0,81.7948,0.0736082,0,0,0,9700,10000,0,0,-nan(ind),-1,0.295229
1513,855189,797,0,88.1638,0.0821649,0,0,0,9700,10000,0,0,-nan(ind),-1,0.294805
1625,918888,832,0,94.7307,0.0857732,0,0,0,9700,10000,0,0,-nan(ind),-1,0.29544
1741,985096,864,0,101.556,0.0890722,0,0,0,9700,10000,0,0,-nan(ind),-1,0.295128
1861,1046826,954,0,107.92,0.0983505,0,0,0,9700,10000,0,0,-nan(ind),-1,0.29489
