#CIRCULANT-RING_SPLIT-DIJKSTRA-2-topology_args-0-37-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
3,1928,1928,1930,0.198763,0.198763,0.198969,0.066323,9695,17,21,242,0,23.8131,68.625,0.00826
4,2458,2458,2460,0.253402,0.253402,0.253608,0.0634021,9656,17,21,308,0,24.726,68.6,0.008165
5,2984,2984,2984,0.307629,0.307629,0.307629,0.0615258,9699,17,21,373,0,24.0512,63.25,0.00724
6,3400,3400,3399,0.350515,0.350515,0.350412,0.0584021,9698,78,82,424,0,24.894,102.5,0.00865833
7,3807,3759,3754,0.392474,0.387526,0.38701,0.0552872,9698,27,31,469,0,23.8721,72.75,0.00808786
8,4143,4135,4133,0.427113,0.426289,0.426082,0.0532603,9698,28,36,516,0,24.6725,82.75,0.00824562
9,5034,5018,5016,0.518969,0.51732,0.517113,0.057457,9699,32,38,627,0,25.7436,94.8333,0.00959556
10,5495,5487,5489,0.566495,0.56567,0.565876,0.0565876,9687,30,37,687,0,25.7496,100.8,0.0089795
11,5914,5898,5896,0.609691,0.608041,0.607835,0.0552577,9699,25,46,736,0,25.5183,87,0.00965636
13,6772,6740,6742,0.698144,0.694845,0.695052,0.0534655,9699,24,33,843,0,24.9531,72.75,0.00921308
25,13387,13379,13400,1.3801,1.37928,1.38144,0.0552577,9699,34,42,1675,0,27.129,89.75,0.0122958
41,22457,22425,22436,2.31515,2.31186,2.31299,0.0564144,9699,78,91,2806,0,29.5035,105,0.0159467
61,33009,32905,32885,3.40299,3.39227,3.39021,0.0555772,9699,54,70,4108,0,31.7532,114.5,0.0192226
85,45497,45369,45343,4.69041,4.67722,4.67454,0.0549945,9699,69,98,5669,0,34.0389,154.5,0.0220277
113,60686,60550,60553,6.25629,6.24227,6.24258,0.055244,9699,83,110,7568,0,36.4612,135.5,0.025685
145,79211,79075,79101,8.16608,8.15206,8.15474,0.0562396,9699,168,182,9889,0,40.4563,227.5,0.0314945
181,98374,98190,98194,10.1416,10.1227,10.1231,0.0559287,9699,173,201,12278,0,43.1577,259.125,0.0357572
221,121884,121548,121523,12.5654,12.5307,12.5281,0.0566884,9699,227,253,15183,0,47.7691,279.5,0.0419436
265,145224,144888,144872,14.9715,14.9369,14.9353,0.0563595,9699,169,235,18111,0,50.32,304.5,0.046589
313,172353,171849,171791,17.7684,17.7164,17.7104,0.0565828,9699,235,299,21465,0,56.9974,369.5,0.0557462
365,201411,200755,200789,20.764,20.6964,20.6999,0.056712,9699,375,504,25102,0,66.2397,649.84,0.0654886
421,233013,144573,143734,24.022,14.9044,14.8179,0.035197,9699,7051,7079,17982,0,244.939,7268.5,0.128001
481,265619,121243,120244,27.3834,12.4993,12.3963,0.0257719,7962,7074,7282,15049,0,159.179,3540.79,0.146288
545,301496,92248,91317,31.0821,9.5101,9.41412,0.0172736,5734,8927,9039,11438,0,134.528,2983,0.165231
613,339350,107766,106717,34.9845,11.1099,11.0018,0.0179474,9699,9029,9101,13369,0,502.574,7314.18,0.175145
685,382231,67967,67001,39.4053,7.00691,6.90732,0.0100837,9183,9428,9429,8412,0,614.986,7464.5,0.187607
761,418540,76884,75705,43.1485,7.92619,7.80464,0.0102558,9699,9685,9873,9492,0,1029.82,8697.81,0.199506
841,466033,68617,67723,48.0446,7.07392,6.98175,0.00830173,9699,9578,9660,8495,0,775.557,9236.14,0.19157
925,513630,43686,42767,52.9515,4.50371,4.40897,0.00476645,3856,9696,9888,5382,0,220.205,2463,0.192348
1013,562969,76857,76311,58.038,7.9234,7.86711,0.00776615,9699,9696,9896,9576,0,892.656,9155.33,0.197524
1105,614059,42187,41646,63.3051,4.34918,4.2934,0.00388543,2400,9699,9869,5248,0,205.561,1871.6,0.19484
1201,667284,45716,45467,68.7922,4.71299,4.68732,0.00390285,4455,9699,9909,5733,0,513.107,4092.75,0.201838
1301,720650,49474,49185,74.2938,5.10041,5.07062,0.00389748,9699,9700,9934,6202,0,689.914,8836,0.198819
1405,780750,31414,31302,80.4897,3.23856,3.22701,0.0022968,2267,9700,9918,3963,0,152.497,944.73,0.195399
1513,839867,47067,46753,86.5842,4.85227,4.8199,0.00318566,9699,9700,9968,5898,0,585.474,8621.54,0.199601
1625,905686,61406,61095,93.3697,6.33052,6.29845,0.00387597,9699,9700,9975,7689,0,784.119,8941.32,0.201402
1741,972979,59275,59457,100.307,6.11082,6.12959,0.00352073,9699,9700,9948,7479,0,1099.13,8793,0.200875
1861,1039118,53902,54420,107.126,5.55691,5.61031,0.00301467,7948,9700,9942,6865,0,871.505,7679,0.206476
