#CIRCULANT-TABLE_BASED-DIJKSTRA-2-topology_args-0-37-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
3,1928,1928,1930,0.198763,0.198763,0.198969,0.066323,9695,17,21,242,0,23.8131,68.625,0.00826
4,2458,2458,2460,0.253402,0.253402,0.253608,0.0634021,9656,17,21,308,0,24.726,68.6,0.008165
5,2984,2984,2984,0.307629,0.307629,0.307629,0.0615258,9699,17,21,373,0,24.0512,63.25,0.00724
6,3384,3384,3383,0.348866,0.348866,0.348763,0.0581271,9698,46,50,422,0,24.6696,83.8,0.00827
7,3823,3775,3770,0.394124,0.389175,0.38866,0.0555228,9698,33,37,471,0,24.1684,83.3333,0.00810643
8,4111,4103,4099,0.423814,0.42299,0.422577,0.0528222,9698,17,36,512,0,24.6387,82.75,0.00824437
9,5018,5002,5000,0.51732,0.51567,0.515464,0.0572738,9699,35,40,625,0,25.7243,94.8333,0.00953444
10,5511,5503,5505,0.568144,0.56732,0.567526,0.0567526,9687,27,33,689,0,25.6182,106.413,0.0089325
11,5922,5906,5904,0.610515,0.608866,0.60866,0.0553327,9699,41,46,737,0,25.5556,85,0.00974727
13,6804,6772,6774,0.701443,0.698144,0.698351,0.0537193,9699,29,33,847,0,25.0261,70,0.00907923
25,13594,13546,13545,1.40144,1.39649,1.39639,0.0558557,9699,49,55,1693,0,27.6907,94.6667,0.0130696
41,22255,22223,22222,2.29433,2.29103,2.29093,0.0558763,9699,39,49,2779,0,29.0542,88.8,0.0153654
61,32538,32442,32408,3.35443,3.34454,3.34103,0.054771,9699,48,56,4053,0,31.0722,109.062,0.0188543
85,45484,45372,45384,4.68907,4.67753,4.67876,0.0550443,9699,55,68,5673,0,33.4425,126.833,0.022453
113,60106,60010,59999,6.19649,6.1866,6.18546,0.0547386,9699,55,73,7500,0,35.4184,127.381,0.0257668
145,78533,78405,78405,8.09619,8.08299,8.08299,0.0557448,9699,92,111,9799,0,38.3922,154,0.0315546
181,97967,97727,97696,10.0997,10.0749,10.0718,0.055645,9699,106,144,12211,0,41.1094,186.286,0.036077
221,121432,121096,121010,12.5188,12.4841,12.4753,0.0564491,9699,122,165,15125,0,44.2563,187.523,0.0426035
265,146439,36223,34334,15.0968,3.73433,3.53959,0.0133569,2730,7600,7630,4302,0,48.6922,251.75,0.314394
313,174828,38820,36787,18.0235,4.00206,3.79247,0.0121165,2406,7796,7938,4615,0,65.5134,404.104,0.344445
365,200883,125515,123016,20.7096,12.9397,12.6821,0.0347454,6431,3847,4044,15397,0,60.5896,374.5,0.198666
421,233894,30926,27974,24.1128,3.18825,2.88392,0.00685016,1425,8760,8761,3521,0,63.6001,398,0.383926
481,267217,12841,9673,27.5481,1.32381,0.997216,0.00207322,677,9475,9578,1229,0,79.1394,399,0.407699
545,301439,15359,11784,31.0762,1.5834,1.21485,0.00222907,647,9485,9525,1495,0,80.7773,352,0.418102
613,339550,12454,8861,35.0052,1.28392,0.913505,0.00149022,555,9609,9665,1131,0,87.3097,334,0.420941
685,379147,5739,2066,39.0873,0.591649,0.21299,0.000310934,384,9700,9884,287,0,86.6706,262,0.435637
761,420785,6937,2906,43.3799,0.715155,0.299588,0.000393676,608,9700,9847,387,0,95.7876,241.5,0.438226
841,468132,5860,1988,48.261,0.604124,0.204948,0.000243696,542,9700,9898,275,0,112.183,343,0.443344
925,514742,3390,414,53.0662,0.349485,0.0426804,4.6141e-05,324,9700,9969,62,0,122.758,275,0.445915
1013,563217,4409,742,58.0636,0.454536,0.0764948,7.55132e-05,398,9700,9939,113,0,122.233,314,0.443338
1105,615795,3243,190,63.484,0.33433,0.0195876,1.77264e-05,298,9700,9967,28,0,120.866,279,0.442788
1201,668775,3191,167,68.9459,0.328969,0.0172165,1.43351e-05,464,9700,9977,27,0,145.417,292.5,0.447562
1301,725010,3506,208,74.7433,0.361443,0.0214433,1.64822e-05,65,9700,9983,34,0,138.498,259,0.446482
1405,783302,3334,66,80.7528,0.343711,0.00680412,4.84279e-06,264,9700,9996,13,0,136.013,248,0.450805
1513,847421,3349,64,87.363,0.345258,0.00659794,4.36083e-06,43,9700,9982,11,0,163.227,279.5,0.449441
1625,904663,3167,73,93.2642,0.326495,0.00752577,4.63125e-06,108,9700,9993,13,0,170.949,286,0.457919
1741,975780,3364,15,100.596,0.346804,0.00154639,8.8822e-07,71,9700,9999,2,0,79,139,0.45638
1861,1035553,3377,84,106.758,0.348144,0.00865979,4.6533e-06,195,9700,9998,11,0,193.667,297.333,0.456278
