#CIRCULANT-VIRTUAL_RING_SPLIT-DIJKSTRA-2-topology_args-0-37-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
3,1928,1928,1930,0.198763,0.198763,0.198969,0.066323,9695,9615,21,242,0,23.8131,68.625,0.00826
4,2458,2458,2460,0.253402,0.253402,0.253608,0.0634021,9656,9581,21,308,0,24.726,68.6,0.008165
5,2984,2984,2984,0.307629,0.307629,0.307629,0.0615258,9699,9442,21,373,0,24.0512,63.25,0.00724
6,3400,3400,3399,0.350515,0.350515,0.350412,0.0584021,9698,9672,82,424,0,24.894,102.5,0.00865833
7,3807,3759,3754,0.392474,0.387526,0.38701,0.0552872,9698,9700,31,469,0,23.8721,72.75,0.00808786
8,4143,4135,4133,0.427113,0.426289,0.426082,0.0532603,9698,9681,36,516,0,24.6802,82.75,0.00820437
9,5018,5002,5000,0.51732,0.51567,0.515464,0.0572738,9699,9700,64,625,0,26.0754,94.8333,0.00973667
10,5495,5487,5489,0.566495,0.56567,0.565876,0.0565876,9687,9699,37,687,0,25.7496,100.8,0.0089795
11,5914,5898,5896,0.609691,0.608041,0.607835,0.0552577,9699,9699,46,736,0,25.5183,87,0.00965636
13,6772,6740,6742,0.698144,0.694845,0.695052,0.0534655,9699,9700,33,843,0,24.9507,72.75,0.00919192
25,13427,13419,13440,1.38423,1.3834,1.38557,0.0554227,9699,9700,42,1680,0,27.1102,89.75,0.0122296
41,22521,22489,22499,2.32175,2.31845,2.31948,0.0565728,9699,9699,146,2813,0,29.7935,187.667,0.0162393
61,33313,33217,33222,3.43433,3.42443,3.42495,0.0561467,9699,9699,76,4154,0,32.064,122,0.0194453
85,45303,45207,45199,4.67041,4.66052,4.65969,0.0548199,9699,9700,102,5651,0,34.5163,171.4,0.0220954
113,60562,60466,60480,6.24351,6.23361,6.23505,0.0551774,9699,9700,106,7559,0,37.2238,168.667,0.0264515
145,78998,78806,78781,8.14412,8.12433,8.12175,0.0560121,9699,9700,167,9849,0,40.6418,261,0.031443
181,97668,97380,97352,10.0689,10.0392,10.0363,0.0554491,9699,9700,171,12164,0,43.1542,223.5,0.0359499
221,121147,120851,120796,12.4894,12.4589,12.4532,0.0563493,9699,9700,183,15099,0,47.0746,285.75,0.0418303
265,144976,144552,144450,14.946,14.9023,14.8918,0.0561953,9699,9700,226,18050,0,52.5107,290.029,0.0487593
313,173033,172561,172597,17.8385,17.7898,17.7935,0.0568483,9699,9700,412,21571,0,56.7006,427.852,0.0555142
365,199016,198448,198452,20.5171,20.4586,20.459,0.056052,9699,9700,447,24804,0,62.6184,461,0.0626351
421,233640,203304,202367,24.0866,20.9592,20.8626,0.0495548,9699,9700,3194,25317,0,216.091,2754.59,0.124079
481,266189,213685,212987,27.4422,22.0294,21.9574,0.0456495,9699,9700,4535,26636,0,202.842,3357.86,0.135858
545,299522,281994,281345,30.8786,29.0715,29.0046,0.0532195,9699,9700,5056,35168,0,178.942,4840.05,0.124519
613,340908,165468,164054,35.1452,17.0586,16.9128,0.0275902,9699,9700,9008,20534,0,799.245,7609.61,0.208363
685,380283,200507,199205,39.2044,20.6708,20.5366,0.0299804,9699,9700,9067,24928,0,492.121,8276.61,0.188565
761,420666,130722,129304,43.3676,13.4765,13.3303,0.0175168,9021,9700,9289,16204,0,872.919,7827.83,0.224086
841,465235,147259,145655,47.9624,15.1813,15.016,0.0178549,7223,9700,9499,18241,0,369.205,6333.53,0.213605
925,510685,155901,154141,52.6479,16.0723,15.8908,0.0171793,9699,9700,9742,19295,0,996.003,7989,0.22667
1013,561776,101848,100257,57.9151,10.4998,10.3358,0.0102031,6360,9700,9757,12572,0,324.585,5362.49,0.228142
1105,611198,159638,157954,63.0101,16.4575,16.2839,0.0147366,9699,9700,9829,19789,0,1368.58,9203.8,0.235188
1201,666583,161263,159877,68.7199,16.6251,16.4822,0.0137237,9699,9700,9924,20035,0,1419.04,9386.07,0.241979
1301,723899,135315,133757,74.6288,13.95,13.7894,0.0105991,8545,9700,9964,16773,0,496.601,7649.6,0.2324
1405,782811,210131,208897,80.7022,21.663,21.5358,0.015328,9699,9700,9882,26152,0,1221.6,9409.36,0.236852
1513,842781,151781,150622,86.8846,15.6475,15.528,0.0102631,9699,9700,9919,18880,0,853.565,8964.96,0.235687
1625,906679,104623,103257,93.4721,10.7859,10.6451,0.0065508,4642,9700,9892,12967,0,430.179,3783,0.238916
1741,964951,93999,93078,99.4795,9.69062,9.59567,0.00551159,6179,9700,9937,11695,0,660.332,5786,0.243539
1861,1041857,170017,168731,107.408,17.5275,17.3949,0.0093471,9699,9700,9913,21153,0,872.342,8530.16,0.240646
