#MESH-MESH_XY-DIJKSTRA-2-topology_args-2-20-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
4,2394,2394,2397,0.246804,0.246804,0.247113,0.0617784,9658,17,22,300,0,25.1532,68.6,0.014675
9,5042,5026,5022,0.519794,0.518144,0.517732,0.0575258,9699,34,58,628,0,26.6871,96.8333,0.0153713
16,8815,8751,8737,0.908763,0.902165,0.900722,0.0562951,9699,44,50,1092,0,28.379,98.6,0.0169617
25,13593,13585,13595,1.40134,1.40052,1.40155,0.0560619,9699,58,85,1700,0,30.9986,99,0.020986
36,19500,19452,19455,2.01031,2.00536,2.00567,0.0557131,9699,64,79,2431,0,33.3997,105,0.0235216
49,26270,26238,26227,2.70825,2.70495,2.70381,0.0551799,9699,125,138,3279,0,35.5849,179.5,0.0264684
64,35076,35036,35061,3.61608,3.61196,3.61454,0.0564771,9699,210,231,4382,0,40.4264,301.5,0.033122
81,44046,43974,44007,4.54082,4.5334,4.5368,0.0560099,9699,128,166,5503,0,41.9448,229.5,0.0358161
100,53884,53756,53793,5.55505,5.54186,5.54567,0.0554567,9699,198,246,6728,0,45.7201,285.75,0.0412166
121,66215,65983,65937,6.82629,6.80237,6.79763,0.0561788,9699,210,266,8243,0,50.671,344.8,0.0483848
144,79000,78776,78801,8.14433,8.12124,8.12381,0.0564154,9699,234,355,9851,0,58.2455,599.4,0.0580859
169,90361,90041,90082,9.31557,9.28258,9.2868,0.0549515,9699,327,401,11256,0,60.668,531,0.0598282
196,107521,106881,106785,11.0846,11.0187,11.0088,0.0561672,9699,468,533,13338,0,73.2626,647.5,0.0747034
225,123218,122618,122471,12.7029,12.641,12.6259,0.056115,9699,709,958,15308,0,97.6045,1084.08,0.0914149
256,141407,139199,138979,14.578,14.3504,14.3277,0.0559677,9699,1364,1445,17375,0,135.051,2261.59,0.112616
289,159723,156163,155806,16.4663,16.0993,16.0625,0.0555795,9699,1334,1655,19473,0,206.196,3679.25,0.136122
324,178065,168865,168239,18.3572,17.4088,17.3442,0.0535316,9699,2174,2563,21032,0,313.565,6289.59,0.157349
361,199933,182821,182275,20.6116,18.8475,18.7912,0.0520533,9699,4153,4157,22782,0,451.724,5458.44,0.178263
400,218752,194552,193862,22.5518,20.0569,19.9858,0.0499644,9699,2930,3486,24226,0,476.318,7947.01,0.182964
