#MESH-RING_SPLIT-DIJKSTRA-2-topology_args-2-35-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
4,2402,2402,2405,0.247629,0.247629,0.247938,0.0619845,9658,17,22,301,0,25.3703,68.6,0.015075
9,4928,4912,4908,0.508041,0.506392,0.505979,0.0562199,9699,30,37,614,0,26.3876,96.8333,0.0150774
16,8678,8622,8613,0.894639,0.888866,0.887938,0.0554961,9699,56,62,1076,0,28.4617,97.25,0.0166722
25,13344,13296,13309,1.37567,1.37072,1.37206,0.0548825,9699,81,87,1664,0,30.2982,136.75,0.0193177
36,19324,19284,19290,1.99216,1.98804,1.98866,0.0552405,9699,92,103,2410,0,32.6795,168.167,0.0224382
49,26543,26511,26511,2.73639,2.73309,2.73309,0.0557774,9699,69,79,3311,0,35.3567,126.312,0.0270835
64,34352,34280,34278,3.54144,3.53402,3.53381,0.0552159,9699,144,158,4285,0,37.7934,181.5,0.0296605
81,44145,44057,44057,4.55103,4.54196,4.54196,0.0560736,9699,147,158,5508,0,41.9589,207,0.035868
100,54421,54309,54300,5.61041,5.59887,5.59794,0.0559794,9699,119,197,6786,0,45.9777,273.5,0.0414878
121,65505,65273,65234,6.75309,6.72918,6.72515,0.0555798,9699,203,242,8154,0,50.7602,352.333,0.0482027
144,78424,78184,78165,8.08495,8.06021,8.05825,0.0559601,9699,187,271,9774,0,56.3223,394.5,0.0552515
169,91477,91213,91207,9.43062,9.4034,9.40278,0.0556378,9699,410,507,11398,0,64.3921,664.68,0.0642692
196,107598,107158,107109,11.0926,11.0472,11.0422,0.0563376,9699,526,550,13386,0,77.5051,739.75,0.0785662
225,123597,122789,122532,12.742,12.6587,12.6322,0.056143,9699,660,742,15313,0,94.9671,813.167,0.0929375
256,141754,140066,139803,14.6138,14.4398,14.4127,0.0562995,9699,2281,2284,17473,0,147.76,2044.97,0.118978
289,159217,154369,153854,16.4141,15.9143,15.8612,0.0548832,9699,1672,1822,19229,0,222.251,4590.76,0.144715
324,181727,169415,168814,18.7347,17.4655,17.4035,0.0537145,9699,4036,4788,21099,0,325.323,6880.87,0.161621
361,199433,181065,180341,20.5601,18.6665,18.5919,0.051501,9699,3345,3623,22544,0,431.906,8618.71,0.174292
400,220061,192597,191994,22.6867,19.8554,19.7932,0.049483,9699,4835,6773,23999,0,478.185,7745.67,0.182591
441,246080,204296,203678,25.3691,21.0614,20.9977,0.0476139,9699,8348,8352,25453,0,566.46,8093.04,0.194405
484,268808,212968,212112,27.7122,21.9555,21.8672,0.0451802,9699,7993,8515,26513,0,570.763,9434.74,0.198971
529,294234,221986,221356,30.3334,22.8852,22.8202,0.0431384,9699,9555,9559,27669,0,630.826,9245,0.202522
576,320358,230454,229657,33.0266,23.7581,23.676,0.0411041,9699,9501,9578,28699,0,678.697,9503,0.208203
625,346744,241568,240856,35.7468,24.9039,24.8305,0.0397288,9699,9676,9755,30102,0,696.389,9460,0.20993
676,377212,249684,248982,38.8878,25.7406,25.6682,0.0379708,9699,9699,9883,31119,0,711.322,9752.5,0.21362
729,406803,264211,263126,41.9385,27.2382,27.1264,0.0372104,9699,9699,9882,32888,0,726.368,9635,0.213283
784,432946,271154,270050,44.6336,27.954,27.8402,0.0355105,9699,9674,9957,33753,0,761.213,9461,0.216275
841,469643,283371,282368,48.4168,29.2135,29.1101,0.0346137,9699,9685,9918,35297,0,730.82,9775,0.216916
900,499937,292353,291552,51.5399,30.1395,30.0569,0.0333966,9699,9700,9952,36446,0,749.685,9290.85,0.219306
961,537576,303096,302119,55.4202,31.247,31.1463,0.0324103,9699,9700,9916,37766,0,766.734,9462,0.220728
1024,572604,310900,309781,59.0313,32.0515,31.9362,0.0311877,9699,9700,9953,38715,0,782.119,9490.67,0.221604
1089,608459,320355,319640,62.7277,33.0263,32.9526,0.0302595,9699,9698,9952,39957,0,788.162,9424.02,0.223816
1156,643792,334240,333389,66.3703,34.4577,34.37,0.0297318,9699,9700,9979,41679,0,780.434,9615,0.223253
1225,684320,336824,336137,70.5485,34.7241,34.6533,0.0282884,9699,9700,9961,42013,0,847.34,9760.47,0.225818
