#MESH-TABLE_BASED-DIJKSTRA-2-topology_args-2-35-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
4,2394,2394,2397,0.246804,0.246804,0.247113,0.0617784,9658,17,22,300,0,25.2198,68.6,0.0149208
9,5082,5066,5062,0.523918,0.522268,0.521856,0.057984,9699,30,36,633,0,26.7168,96.8333,0.0149782
16,8801,8745,8745,0.90732,0.901546,0.901546,0.0563466,9699,34,43,1093,0,27.7065,91.375,0.0170835
25,13517,13469,13472,1.39351,1.38856,1.38887,0.0555546,9699,41,55,1685,0,30.7631,98.75,0.0209081
36,18992,18952,18952,1.95794,1.95381,1.95381,0.0542726,9699,50,59,2367,0,32.5543,95.75,0.0222562
49,27383,407,207,2.82299,0.0419588,0.0213402,0.000435514,960,9700,9827,27,0,32.0463,55.5,0.309407
64,34750,34702,34734,3.58247,3.57753,3.58082,0.0559504,9699,119,130,4343,0,38.3577,150.833,0.0332898
81,44292,44212,44208,4.56619,4.55794,4.55753,0.0562658,9699,127,160,5527,0,42.1499,181,0.0399275
100,54857,54681,54670,5.65536,5.63722,5.63608,0.0563608,9699,120,142,6833,0,46.6537,201.452,0.0476723
121,66826,5658,4923,6.88928,0.583299,0.507526,0.00419443,1173,9159,9202,621,0,48.6643,227.5,0.339979
144,79515,6091,5254,8.19742,0.627938,0.541649,0.00376145,1082,9185,9234,662,0,55.0909,187,0.334092
169,93195,1091,409,9.60773,0.112474,0.0421649,0.000249497,403,9700,9914,54,0,45.2407,144.5,0.352761
196,107731,1075,319,11.1063,0.110825,0.0328866,0.000167789,723,9700,9897,42,0,55.8386,148,0.381883
225,124646,1542,561,12.8501,0.158969,0.0578351,0.000257045,297,9700,9881,76,0,75.4375,270,0.377646
256,142334,1070,175,14.6736,0.110309,0.0180412,7.04736e-05,186,9700,9900,26,0,89.7372,181,0.383013
289,160741,1021,216,16.5712,0.105258,0.022268,7.7052e-05,661,9700,9980,28,0,92.5179,212,0.380592
324,178907,1923,650,18.444,0.198247,0.0670103,0.000206822,305,9700,9868,92,0,85.8466,243.5,0.392812
361,199256,952,122,20.5419,0.0981443,0.0125773,3.48402e-05,263,9700,9951,17,0,100.735,180,0.399159
400,224670,814,50,23.1619,0.0839175,0.00515464,1.28866e-05,304,9700,9998,7,0,34.5714,72,0.395512
441,248114,994,63,25.5788,0.102474,0.00649485,1.47275e-05,136,9700,9994,10,0,93.6333,225,0.393865
484,270697,1153,81,27.9069,0.118866,0.00835052,1.72531e-05,674,9700,9994,12,0,67.7083,163.5,0.403427
529,297031,1071,104,30.6218,0.110412,0.0107216,2.02678e-05,389,9700,9988,13,0,29.1538,43,0.400857
576,322753,1137,153,33.2735,0.117216,0.0157732,2.7384e-05,374,9700,9994,21,0,168.921,418,0.399834
625,349692,1172,48,36.0507,0.120825,0.00494845,7.91753e-06,301,9700,9989,6,0,30,44,0.406819
676,376503,1399,55,38.8147,0.144227,0.0056701,8.38773e-06,418,9700,9995,9,0,64.5556,246,0.411487
729,407850,1178,50,42.0464,0.121443,0.00515464,7.07084e-06,262,9700,9986,7,0,31,44,0.410018
784,438650,1298,32,45.2216,0.133814,0.00329897,4.20787e-06,125,9700,9999,4,0,119.875,218.5,0.406302
841,472535,1215,16,48.7149,0.125258,0.00164948,1.96134e-06,233,9700,9998,2,0,21,23,0.412878
900,505771,1323,34,52.1413,0.136392,0.00350515,3.89462e-06,114,9700,9998,5,0,84.2,250,0.41859
961,541630,1254,24,55.8381,0.129278,0.00247423,2.57464e-06,680,9700,10000,3,0,26,33,0.415936
1024,573896,1424,56,59.1645,0.146804,0.0057732,5.63789e-06,257,9700,9999,7,0,27.8571,43,0.415348
1089,611450,1482,70,63.0361,0.152784,0.00721649,6.62672e-06,547,9700,10000,10,0,48.9,211,0.412606
1156,648334,1662,42,66.8386,0.17134,0.0043299,3.74559e-06,292,9700,10000,7,0,35.1429,54,0.415216
1225,685680,1752,33,70.6887,0.180619,0.00340206,2.77719e-06,204,9700,10000,5,0,28,31,0.414129
