#MESH-VIRTUAL_RING_SPLIT-DIJKSTRA-2-topology_args-2-35-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
4,2442,2442,2445,0.251753,0.251753,0.252062,0.0630155,9657,9581,22,306,0,25.4631,68.6,0.0152854
9,4928,4912,4908,0.508041,0.506392,0.505979,0.0562199,9699,9690,37,614,0,26.4511,96.8333,0.0152073
16,8678,8622,8613,0.894639,0.888866,0.887938,0.0554961,9699,9699,62,1076,0,28.3895,108.889,0.0167577
25,13330,13290,13303,1.37423,1.3701,1.37144,0.0548577,9699,9700,69,1662,0,30.4946,107.667,0.0197035
36,19148,19108,19112,1.97402,1.9699,1.97031,0.0547308,9699,9700,103,2387,0,32.6955,135,0.0226614
49,26538,26498,26497,2.73588,2.73175,2.73165,0.0557479,9699,9700,107,3311,0,36.2801,152.111,0.027292
64,34392,34360,34378,3.54557,3.54227,3.54412,0.0553769,9699,9700,154,4298,0,39.3691,194.7,0.0312103
81,43504,43448,43456,4.48495,4.47918,4.48,0.0553086,9699,9700,105,5434,0,41.7988,184.375,0.0351324
100,54464,54344,54343,5.61485,5.60247,5.60237,0.0560237,9699,9700,228,6791,0,46.4828,310.4,0.0421078
121,66409,66153,66117,6.84629,6.8199,6.81619,0.0563321,9699,9700,174,8262,0,51.1438,228.458,0.0491313
144,79251,79091,79122,8.17021,8.15371,8.15691,0.0566452,9699,9700,350,9889,0,57.7354,425.75,0.0581435
169,91233,91025,91089,9.40546,9.38402,9.39062,0.0555658,9699,9700,359,11385,0,62.3011,467,0.0635699
196,106151,105567,105454,10.9434,10.8832,10.8715,0.0554671,9699,9700,452,13187,0,74.0407,544.111,0.0763317
225,123865,123089,123069,12.7696,12.6896,12.6875,0.056389,9699,9700,1103,15383,0,106.663,2142.33,0.102471
256,139842,138754,138550,14.4167,14.3045,14.2835,0.0557949,9699,9700,1089,17319,0,126.937,1602.83,0.114076
289,159345,155601,155132,16.4273,16.0413,15.993,0.0553391,9699,9700,2996,19389,0,218.911,5723.63,0.146179
324,177937,168425,167771,18.344,17.3634,17.296,0.0533827,9699,9700,4815,20968,0,299.658,7416.49,0.167048
361,199716,181996,181399,20.5893,18.7625,18.7009,0.0518031,9699,9700,4583,22676,0,447.856,6652.22,0.184266
400,221117,191917,191162,22.7956,19.7853,19.7074,0.0492686,9699,9700,4666,23894,0,501.777,7501.81,0.203049
441,243173,203493,202561,25.0694,20.9787,20.8826,0.0473528,9699,9700,5347,25317,0,542.188,8596.23,0.203826
484,268867,212587,211664,27.7182,21.9162,21.821,0.0450848,9699,9700,9472,26451,0,602.225,9064.54,0.21715
529,295224,220832,220013,30.4355,22.7662,22.6818,0.0428767,9699,9700,9421,27502,0,675.66,9233.74,0.219424
576,319675,233483,232715,32.9562,24.0704,23.9912,0.0416515,9699,9700,9652,29098,0,717.458,9209.28,0.224226
625,346418,240498,239554,35.7132,24.7936,24.6963,0.0395141,9699,9700,9925,29943,0,708.282,9706,0.22882
676,373945,250793,249733,38.551,25.8549,25.7457,0.0380853,9699,9700,9866,31219,0,745.726,9430.93,0.231528
729,403200,262432,261278,41.567,27.0548,26.9359,0.0369491,9699,9700,9787,32666,0,795.074,9404.12,0.234895
784,436699,268179,266947,45.0205,27.6473,27.5203,0.0351024,9699,9700,9895,33363,0,864.808,9327.96,0.240748
841,469715,282635,281474,48.4242,29.1376,29.0179,0.0345041,9699,9700,9935,35196,0,806.543,9513.36,0.240611
900,502413,289829,288560,51.7952,29.8793,29.7485,0.0330538,9699,9700,9904,36069,0,861.099,9597,0.245269
961,536854,300078,298958,55.3458,30.9359,30.8204,0.0320712,9699,9700,9973,37376,0,871.531,9601.33,0.246919
1024,573217,310857,309652,59.0945,32.0471,31.9229,0.0311747,9699,9700,9945,38708,0,850.021,9782,0.246701
1089,608191,315015,313916,62.7001,32.4758,32.3625,0.0297176,9699,9700,9960,39238,0,971.821,9589.25,0.252052
1156,645761,323265,321871,66.5733,33.3263,33.1826,0.0287047,9699,9700,9979,40239,0,1000.57,9574.64,0.252403
1225,682625,339449,337705,70.3737,34.9947,34.8149,0.0284204,9699,9700,9944,42210,0,925.899,9706,0.253573
