#TORUS-MESH_XY-DIJKSTRA-2-topology_args-2-40-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
4,2402,2402,2405,0.247629,0.247629,0.247938,0.0619845,9658,17,22,301,0,25.3404,68.6,0.0091225
9,4929,4913,4909,0.508144,0.506495,0.506082,0.0562314,9699,29,37,614,0,26.8249,96.8333,0.011175
16,8815,8751,8737,0.908763,0.902165,0.900722,0.0562951,9699,44,50,1092,0,28.3909,98.6,0.0137162
25,13446,13430,13453,1.38619,1.38454,1.38691,0.0554763,9699,79,91,1683,0,30.7862,105,0.0173678
36,19478,19414,19418,2.00804,2.00144,2.00186,0.0556071,9699,61,79,2425,0,33.2346,111.25,0.0206315
49,26307,26275,26285,2.71206,2.70876,2.70979,0.0553019,9699,125,138,3286,0,35.8648,179.5,0.0240985
64,34878,34790,34786,3.59567,3.5866,3.58619,0.0560341,9699,97,154,4349,0,39.0703,211.862,0.0290191
81,43984,43888,43933,4.53443,4.52454,4.52918,0.0559157,9699,106,152,5491,0,41.7417,195.667,0.0328022
100,53882,53746,53762,5.55485,5.54082,5.54247,0.0554247,9699,122,185,6720,0,46.4039,199,0.0388523
121,65919,65679,65586,6.79577,6.77103,6.76144,0.0558797,9699,170,209,8198,0,50.3706,269.889,0.0453561
144,78668,78436,78470,8.1101,8.08619,8.08969,0.0561784,9699,278,318,9811,0,56.5636,388.8,0.0533434
169,91370,91138,91187,9.41959,9.39567,9.40072,0.0556256,9699,282,400,11395,0,63.8829,486.8,0.0610015
196,106555,106043,105963,10.9851,10.9323,10.924,0.0557348,9699,445,543,13246,0,71.8574,906.48,0.0704745
225,122981,122133,121990,12.6785,12.591,12.5763,0.0558946,9699,775,1065,15249,0,92.0734,1990.84,0.0843733
256,139088,138248,138074,14.339,14.2524,14.2344,0.0556033,9699,893,944,17261,0,115.347,1944.71,0.100263
289,159054,153918,153640,16.3973,15.8678,15.8392,0.0548068,9699,2111,2353,19205,0,221.097,5618.88,0.131856
324,180649,168905,168377,18.6236,17.4129,17.3585,0.0535755,9699,2817,2927,21050,0,317.061,7048.7,0.155169
361,201696,182144,181473,20.7934,18.7777,18.7086,0.0518243,9699,2482,4699,22683,0,442.717,7115.55,0.171749
400,220097,193593,192850,22.6904,19.958,19.8814,0.0497036,9699,6598,6602,24104,0,518.87,7667.78,0.182173
441,243731,205107,204230,25.1269,21.1451,21.0546,0.0477429,9699,4198,4421,25520,0,630.774,7636.03,0.194548
484,267882,217674,216673,27.6167,22.4406,22.3374,0.0461517,9699,5174,6282,27090,0,655.275,9245.48,0.194112
529,293920,226200,225403,30.301,23.3196,23.2374,0.0439271,9699,9137,9140,28177,0,801.855,9131.75,0.203624
576,320660,239572,238765,33.0577,24.6981,24.6149,0.0427343,9699,9444,9447,29835,0,820.898,9667.38,0.204436
625,347434,252258,251213,35.8179,26.006,25.8982,0.0414372,9699,8786,8903,31402,0,832.689,8865.03,0.205893
676,376058,258858,257859,38.7689,26.6864,26.5834,0.0393246,9699,9580,9634,32226,0,928.613,9105.69,0.211508
729,407372,267980,267123,41.9971,27.6268,27.5385,0.0377757,9699,9591,9626,33390,0,996.193,9369.76,0.216275
784,435571,279115,277937,44.9042,28.7747,28.6533,0.0365476,9699,9692,9854,34745,0,1020.29,9451.23,0.21598
841,465502,287038,285613,47.9899,29.5915,29.4446,0.0350115,9699,9679,9929,35707,0,1081.21,9312,0.219658
900,499282,299202,298243,51.4724,30.8456,30.7467,0.034163,9699,9698,9838,37279,0,1124.95,9356,0.222056
961,538142,311126,309759,55.4786,32.0748,31.9339,0.0332299,9699,9681,9817,38721,0,1145.4,9545,0.222796
1024,573244,318596,317413,59.0973,32.8449,32.723,0.031956,9699,9666,9943,39694,0,1178.14,9617.5,0.224333
1089,603760,331696,330261,62.2433,34.1955,34.0475,0.0312649,9699,9700,9960,41272,0,1159.19,9289.58,0.224758
1156,641320,343776,342656,66.1155,35.4408,35.3254,0.0305583,9699,9700,9920,42825,0,1194.89,9163.91,0.224954
1225,681195,351395,350022,70.2263,36.2263,36.0847,0.0294569,9699,9692,9925,43761,0,1216.48,9749,0.227373
1296,719477,362917,361535,74.1729,37.4141,37.2716,0.028759,9699,9696,9956,45195,0,1215.35,9486,0.226956
1369,761226,373570,372371,78.4769,38.5124,38.3888,0.0280415,9699,9700,9948,46547,0,1269.09,9561,0.22849
1444,805764,385404,383892,83.0685,39.7324,39.5765,0.0274075,9699,9691,9966,47985,0,1341.4,9443.82,0.230153
1521,853270,394014,392455,87.966,40.62,40.4593,0.0266004,9699,9700,9963,49062,0,1313.22,9444.43,0.230036
1600,892428,404156,402661,92.0029,41.6656,41.5114,0.0259447,9699,9700,9988,50338,0,1328.34,9608.44,0.230683
