#TORUS-RING_SPLIT-DIJKSTRA-2-topology_args-2-35-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
4,2402,2402,2405,0.247629,0.247629,0.247938,0.0619845,9658,17,22,301,0,25.3404,68.6,0.009125
9,5002,4986,4984,0.51567,0.514021,0.513814,0.0570905,9699,32,36,623,0,25.2793,96.8333,0.00931778
16,8716,8660,8658,0.898557,0.892784,0.892577,0.0557861,9699,24,34,1082,0,26.1453,81.75,0.0111303
25,13635,13603,13610,1.40567,1.40237,1.40309,0.0561237,9699,44,55,1702,0,28.3864,116.5,0.01364
36,19322,19282,19295,1.99196,1.98784,1.98918,0.0552549,9699,49,58,2411,0,29.7592,113.476,0.0156989
49,26603,26563,26579,2.74258,2.73845,2.7401,0.0559205,9699,58,84,3322,0,31.4076,111.333,0.0182496
64,34735,33655,33604,3.58093,3.46959,3.46433,0.0541302,9699,2487,2490,4200,0,33.6148,147,0.0266066
81,44104,44008,44036,4.5468,4.53691,4.53979,0.0560468,9699,66,91,5506,0,35.2882,160.8,0.0240514
100,53866,53762,53810,5.5532,5.54247,5.54742,0.0554742,9699,111,119,6726,0,36.8626,182.167,0.0262009
121,66391,64919,64813,6.84443,6.69268,6.68175,0.0552211,9699,2189,2196,8104,0,40.1523,245.5,0.0344526
144,78688,18120,17635,8.11216,1.86804,1.81804,0.0126253,3405,7921,7946,2212,0,39.9184,154.75,0.17172
169,92433,31217,30688,9.52918,3.21825,3.16371,0.0187202,8026,9011,9054,3842,0,42.71,251.028,0.157871
196,109050,27738,27092,11.2423,2.85959,2.79299,0.0142499,4167,8632,8652,3399,0,46.9198,233,0.176928
225,122720,27592,26843,12.6515,2.84454,2.76732,0.0122992,9084,9681,9690,3363,0,46.225,279.222,0.178397
256,141104,12944,12162,14.5468,1.33443,1.25381,0.00489771,2113,9471,9472,1535,0,47.1246,199.333,0.199468
289,160758,15846,14886,16.573,1.63361,1.53464,0.00531017,3166,9224,9298,1872,0,53.9069,294.333,0.219959
324,179798,19038,17961,18.5359,1.96268,1.85165,0.00571497,6527,9146,9206,2261,0,63.501,407.75,0.225405
361,198080,24656,23760,20.4206,2.54186,2.44948,0.00678528,2931,9216,9251,2988,0,62.8536,309.667,0.199916
400,221719,19191,18144,22.8576,1.97845,1.87052,0.00467629,2606,9664,9841,2286,0,63.232,330.429,0.209795
441,245224,17048,16045,25.2808,1.75753,1.65412,0.00375085,2352,9690,9992,2024,0,63.1572,272.917,0.208992
484,269371,10755,9303,27.7702,1.10876,0.959072,0.00198155,2034,9697,9734,1182,0,65.9452,298.5,0.240902
529,292312,17712,16732,30.1353,1.82598,1.72495,0.00326077,3722,9700,9946,2113,0,74.5265,414,0.211733
576,318300,29460,28424,32.8144,3.03711,2.93031,0.00508734,3403,9700,9963,3580,0,67.1072,388.667,0.202651
625,347706,13842,12806,35.846,1.42701,1.32021,0.00211233,1959,9699,9972,1629,0,73.2371,310.5,0.224007
676,374681,8713,7241,38.6269,0.898247,0.746495,0.00110428,2150,9700,9924,927,0,72.1105,324.8,0.249749
729,404633,16345,15313,41.7147,1.68505,1.57866,0.00216551,2219,9700,9933,1947,0,84.6235,447.3,0.213179
784,434969,24553,23865,44.8422,2.53124,2.46031,0.00313815,2751,9699,9944,3010,0,84.8531,527.429,0.191169
841,465751,18295,17320,48.0156,1.88608,1.78557,0.00212315,2889,9700,9947,2189,0,85.9226,506.667,0.209522
900,501406,13862,12644,51.6913,1.42907,1.30351,0.00144834,2206,9700,9994,1617,0,97.1854,360,0.234455
961,534667,15139,14213,55.1203,1.56072,1.46526,0.00152472,1656,9700,9977,1825,0,87.2623,375.5,0.221512
1024,570394,19178,18051,58.8035,1.97711,1.86093,0.00181731,2828,9700,9933,2295,0,96.6512,455.8,0.219955
1089,606791,15831,15024,62.5558,1.63206,1.54887,0.00142228,2068,9700,9991,1912,0,103.656,471,0.210854
1156,643966,16710,16124,66.3882,1.72268,1.66227,0.00143795,2006,9700,9973,2055,0,107.676,513.5,0.209603
1225,681687,7359,5848,70.277,0.75866,0.602887,0.000492152,1291,9700,9984,769,0,97.3526,364,0.25957
