#TORUS-TABLE_BASED-DIJKSTRA-2-topology_args-2-35-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
4,2402,2402,2405,0.247629,0.247629,0.247938,0.0619845,9658,17,22,301,0,25.347,68.6,0.0091325
9,5002,4986,4984,0.51567,0.514021,0.513814,0.0570905,9699,28,46,623,0,25.6164,96.8333,0.00974778
16,8781,8725,8725,0.905258,0.899485,0.899485,0.0562178,9699,25,37,1090,0,26.7119,86.6,0.0117184
25,13525,13501,13508,1.39433,1.39186,1.39258,0.0557031,9699,33,44,1687,0,27.6788,88.4,0.0132712
36,19324,19284,19281,1.99216,1.98804,1.98773,0.0552148,9699,48,56,2408,0,29.2403,113.476,0.015699
49,25983,25951,25946,2.67866,2.67536,2.67485,0.0545887,9699,37,63,3245,0,30.6939,99.3125,0.0179443
64,34216,34176,34207,3.52742,3.5233,3.52649,0.0551015,9699,69,77,4277,0,32.3141,130.8,0.0205448
81,44087,43991,44013,4.54505,4.53515,4.53742,0.0560176,9699,82,90,5503,0,34.0112,141.833,0.0233734
100,54023,53903,53942,5.56938,5.55701,5.56103,0.0556103,9699,56,100,6743,0,35.4452,117.5,0.0257955
121,66033,65897,65867,6.80753,6.79351,6.79041,0.0561191,9699,88,114,8227,0,37.433,194.333,0.0298998
144,79428,79252,79221,8.18845,8.17031,8.16711,0.0567161,9699,95,127,9905,0,39.2641,172.438,0.033683
169,92171,92003,92011,9.50216,9.48485,9.48567,0.0561282,9699,122,138,11503,0,40.7218,152,0.0361043
196,106604,106372,106296,10.9901,10.9662,10.9584,0.05591,9699,108,126,13290,0,43.2701,161.444,0.0408461
225,122753,122601,122569,12.6549,12.6393,12.636,0.0561599,9699,166,234,15318,0,46.4273,275.5,0.0463843
256,140282,112610,110837,14.4621,11.6093,11.4265,0.0446347,8024,2256,2307,13869,0,48.4735,231.5,0.118417
289,158396,158068,158083,16.3295,16.2957,16.2972,0.0563918,9699,144,240,19760,0,51.4573,254,0.0567657
324,178483,62195,59864,18.4003,6.41186,6.17155,0.019048,3746,6639,6656,7498,0,53.1325,213.844,0.291408
361,199328,20440,17989,20.5493,2.10722,1.85454,0.00513722,1226,9089,9130,2267,0,60.2118,229.714,0.391237
400,222090,32442,29666,22.8959,3.34454,3.05835,0.00764588,1724,8536,8560,3727,0,60.0301,297,0.382607
441,244885,10157,7372,25.2459,1.04711,0.76,0.00172336,493,9561,9665,940,0,80.5515,325,0.417454
484,269190,15174,11850,27.7515,1.56433,1.22165,0.00252407,718,9463,9483,1507,0,87.2365,462.333,0.424223
529,293548,11876,8544,30.2627,1.22433,0.880825,0.00166508,865,9606,9628,1096,0,92.7482,366,0.426112
576,319696,10264,6557,32.9584,1.05814,0.675979,0.00117358,348,9656,9708,854,0,81.4229,276,0.43396
625,346628,4476,1529,35.7348,0.461443,0.157629,0.000252206,344,9700,9919,212,0,82.1783,247,0.427749
676,373802,7130,3494,38.5363,0.735052,0.360206,0.000532849,440,9700,9901,461,0,100.373,260,0.438952
729,404920,5952,2375,41.7443,0.613608,0.244845,0.000335865,315,9700,9898,320,0,106.291,281.5,0.437563
784,435686,7326,3278,44.9161,0.755258,0.337938,0.000431044,301,9700,9872,431,0,120.793,344,0.448482
841,467524,5660,1822,48.1984,0.583505,0.187835,0.000223347,347,9700,9918,249,0,107.682,261,0.438935
900,500043,4427,911,51.5508,0.456392,0.0939175,0.000104353,312,9700,9978,135,0,126.152,304,0.451696
961,534744,4544,1109,55.1282,0.468454,0.11433,0.00011897,153,9700,9954,163,0,123.248,247,0.442654
1024,567906,4274,811,58.547,0.440619,0.0836082,8.16487e-05,118,9700,9918,117,0,145.799,345.5,0.454137
1089,606948,4052,743,62.572,0.417732,0.0765979,7.03379e-05,481,9700,9955,109,0,144.162,341.5,0.452117
1156,643303,2719,121,66.3199,0.280309,0.0124742,1.07909e-05,87,9700,9993,18,0,170.389,271,0.460727
1225,681867,3571,425,70.2956,0.368144,0.0438144,3.57669e-05,85,9700,9976,63,0,153.587,274.5,0.458744
