#TORUS-VIRTUAL_RING_SPLIT-DIJKSTRA-2-topology_args-2-35-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
4,2402,2402,2405,0.247629,0.247629,0.247938,0.0619845,9658,9581,23,301,0,25.3935,68.6,0.00916625
9,5002,4986,4984,0.51567,0.514021,0.513814,0.0570905,9699,9700,36,623,0,25.297,96.8333,0.00934667
16,8700,8644,8642,0.896907,0.891134,0.890928,0.055683,9699,9700,34,1080,0,26.1775,81,0.0112947
25,13715,13699,13718,1.41392,1.41227,1.41423,0.0565691,9699,9700,55,1716,0,28.3377,116.5,0.0137054
36,19347,19307,19307,1.99454,1.99041,1.99041,0.0552892,9699,9700,77,2413,0,29.5713,113.476,0.0153539
49,25995,25979,25980,2.6799,2.67825,2.67835,0.0546602,9699,9700,67,3247,0,31.2479,126.667,0.0176367
64,34343,34287,34305,3.54052,3.53474,3.5366,0.0552593,9699,9700,83,4292,0,33.2352,133.8,0.0210428
81,44393,44313,44342,4.5766,4.56835,4.57134,0.0564363,9699,9700,101,5545,0,35.7484,156.333,0.0242774
100,54388,54292,54313,5.60701,5.59711,5.59928,0.0559928,9699,9700,134,6789,0,37.5006,148,0.0273607
121,65804,6396,5965,6.78392,0.659381,0.614948,0.00508222,9657,9700,9837,749,0,33.8138,107.5,0.19461
144,78554,75418,75000,8.09835,7.77505,7.73196,0.0536942,9699,9700,907,9378,0,41.4203,178,0.0409151
169,91578,75506,74975,9.44103,7.78412,7.72938,0.045736,9698,9700,2335,9379,0,43.6242,288,0.0678693
196,107277,106957,106967,11.0595,11.0265,11.0275,0.0562629,9699,9700,445,13375,0,48.0905,461,0.0429892
225,123692,17364,16573,12.7518,1.7901,1.70856,0.00759359,4767,9700,9220,2085,0,46.3948,226.4,0.211753
256,142062,22142,21302,14.6456,2.28268,2.19608,0.00857845,9655,9700,8931,2676,0,51.3928,267.444,0.201055
289,161317,33253,32485,16.6306,3.42814,3.34897,0.0115881,6439,9700,8431,4075,0,55.3123,343,0.17786
324,178242,24706,23795,18.3755,2.54701,2.45309,0.00757127,6885,9700,9140,2993,0,55.7671,372.5,0.208114
361,200181,11573,10798,20.6372,1.19309,1.1132,0.00308365,9638,9700,9929,1369,0,49.3878,188.5,0.207023
400,221116,26668,25742,22.7955,2.74928,2.65381,0.00663454,9212,9700,9379,3238,0,67.4252,362,0.202429
441,245439,23095,21829,25.303,2.38093,2.25041,0.00510298,5717,9700,9542,2757,0,67.0651,365.667,0.228481
484,269270,30054,28827,27.7598,3.09835,2.97186,0.0061402,9671,9700,9602,3626,0,68.4893,756,0.21313
529,293431,12407,11223,30.2506,1.27907,1.15701,0.00218717,4666,9700,9861,1427,0,68.2507,371.6,0.235419
576,319157,43645,42425,32.9028,4.49948,4.37371,0.00759325,9500,9700,9709,5332,0,99.1914,823,0.21756
625,345125,42381,41616,35.5799,4.36918,4.29031,0.00686449,9639,9700,9831,5231,0,95.6967,969,0.189862
676,376583,12935,11548,38.823,1.33351,1.19052,0.00176112,3532,9700,9932,1475,0,77.8906,388.5,0.256507
729,404377,19193,17621,41.6884,1.97866,1.8166,0.0024919,5718,9700,9932,2231,0,88.4404,698,0.251555
784,436467,22907,21340,44.9966,2.36155,2.2,0.00280612,9671,9700,9983,2696,0,88.5153,875,0.239737
841,468427,15651,14199,48.2914,1.61351,1.46381,0.00174056,4417,9700,9911,1806,0,93.2799,575,0.237401
900,501736,30728,29543,51.7254,3.16784,3.04567,0.00338408,5538,9700,9892,3725,0,131.223,874.333,0.232999
961,532673,20737,19007,54.9147,2.13784,1.95948,0.00203901,7154,9700,9977,2410,0,110.254,654,0.253068
1024,565235,29907,28630,58.2716,3.0832,2.95155,0.00288237,9483,9700,9913,3623,0,139.957,891,0.239003
1089,605502,30782,29258,62.4229,3.1734,3.01629,0.00276978,9694,9700,9910,3698,0,138.388,1116,0.243415
1156,643060,24068,22537,66.2948,2.48124,2.3234,0.00200986,6565,9700,9894,2862,0,148.878,935,0.253452
1225,678428,28868,27949,69.941,2.97608,2.88134,0.00235211,6730,9700,9963,3535,0,129.834,1477,0.222687
