#topology_args-4-25-1
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
4,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.0168307
5,141603,141595,141614,1.41745,1.41737,1.41756,0.0567023,99898,65,85,17704,0,30.8268,190.062,0.0203309
6,202492,202444,202442,2.02695,2.02647,2.02645,0.0562902,99899,133,155,25303,0,33.2242,197.333,0.0235738
7,274869,274861,274885,2.75144,2.75136,2.7516,0.0561551,99899,125,138,34362,0,35.8256,188.667,0.0270543
8,363046,362974,362995,3.63409,3.63337,3.63358,0.0567747,99899,210,231,45377,0,39.0368,301.5,0.0322107
9,459153,459065,459121,4.59613,4.59525,4.59581,0.0567383,99899,172,208,57390,0,42.6174,249.878,0.0375232
10,565109,564989,564992,5.65675,5.65555,5.65558,0.0565558,99899,208,270,70625,0,46.6321,331.5,0.0428676
11,683696,683504,683536,6.8438,6.84188,6.8422,0.0565471,99899,254,269,85442,0,50.4951,407,0.048654
12,813440,813216,813191,8.14254,8.1403,8.14005,0.0565281,99899,378,412,101648,0,57.1953,599.4,0.0569036
13,956216,955920,955854,9.57173,9.56877,9.56811,0.056616,99899,620,648,119482,0,64.9815,726.5,0.0660187
14,1112038,1111534,1111374,11.1315,11.1265,11.1249,0.0567595,99899,752,1035,138917,0,77.5946,1082,0.0784909
15,1270939,1270003,1269822,12.7221,12.7127,12.7109,0.056493,99899,833,981,158729,0,97.2973,1824.3,0.0936341
16,1448620,1447148,1446844,14.5007,14.486,14.4829,0.0565739,99899,1812,1932,180854,0,159.948,6533.45,0.118435
17,1638611,1629499,1629123,16.4025,16.3113,16.3075,0.0564275,99899,2420,2734,203643,0,468.093,26303.9,0.153635
18,1829842,1773114,1772397,18.3167,17.7489,17.7417,0.0547584,99899,4220,4930,221541,0,1318.54,61126.1,0.182516
19,2048048,1898448,1897492,20.501,19.0035,18.9939,0.0526147,99899,7563,7604,237184,0,2400.3,76928.1,0.199372
20,2263858,2007914,2006719,22.6612,20.0992,20.0873,0.0502182,99899,10707,10882,250839,0,3348.68,82753,0.208676
21,2496921,2113649,2112481,24.9942,21.1576,21.146,0.04795,99899,10808,12034,264062,0,4252.68,90123.3,0.214233
22,2745904,2229896,2228600,27.4865,22.3213,22.3083,0.0460915,99899,13037,14045,278579,0,4840.46,93716.1,0.218406
23,2991665,2326049,2324684,29.9466,23.2838,23.2701,0.0439889,99899,14909,15550,290588,0,5534.66,94471,0.221403
24,3266807,2438215,2436675,32.7008,24.4066,24.3911,0.0423457,99899,15246,22910,304583,0,6166.4,96174.6,0.224096
25,3540103,2529623,2527877,35.4365,25.3216,25.3041,0.0404865,99899,56800,58616,315989,0,6761.86,96966.8,0.22829
