#topology_args-4-25-2
topology_args,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
16,9033,8969,8963,0.912424,0.90596,0.905354,0.0565846,9899,44,50,1121,0,28.3683,98.6,0.0137162
36,20007,19943,19944,2.02091,2.01444,2.01455,0.0559596,9899,61,79,2492,0,33.3676,119.75,0.0206315
64,35660,35572,35579,3.60202,3.59313,3.59384,0.0561537,9899,97,154,4451,0,39.0958,211.862,0.0290191
100,55070,54934,54952,5.56263,5.54889,5.55071,0.0555071,9899,122,185,6870,0,46.3858,199,0.0388523
144,80053,79821,79826,8.08616,8.06273,8.06323,0.0559947,9899,278,318,9980,0,56.5681,388.8,0.0533434
196,108864,108352,108159,10.9964,10.9446,10.9252,0.0557406,9899,445,543,13519,0,71.6303,906.48,0.0704745
256,141648,140808,140526,14.3079,14.223,14.1945,0.0554474,9899,893,944,17564,0,114.523,1944.71,0.100263
324,183964,172220,171569,18.5822,17.396,17.3302,0.0534883,9899,2817,2927,21440,0,312.664,7048.7,0.155169
400,224113,197609,196590,22.6377,19.9605,19.8576,0.0496439,9899,6598,6602,24572,0,510.376,7667.78,0.182173
484,272567,222359,221044,27.532,22.4605,22.3277,0.0461316,9899,5174,6282,27637,0,643.883,9245.48,0.194112
576,326033,244945,243484,32.9326,24.7419,24.5943,0.0426985,9899,9444,9447,30427,0,806.609,9667.38,0.204436
676,382235,265035,263367,38.6096,26.7712,26.6027,0.0393531,9899,9580,9634,32911,0,911.101,9105.69,0.211508
