#virtual_channels-2-50-5
virtual_channels,Total produced flits,Total accepted flits,Total received flits,Network production (flits/cycle),Network acceptance (flits/cycle),Network throughput (flits/cycle),IP throughput (flits/cycle/IP),Last time flit received (cycles),Max buffer stuck delay (cycles),Max time flit in network (cycles),Total received packets,Total flits lost,Global average delay (cycles),Max delay (cycles),Average buffer utilization
2,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.0168307
7,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.00480876
12,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.00280511
17,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.00198008
22,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.00153006
27,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.00124672
32,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.00105192
37,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.000909766
42,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.00080146
47,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.000716198
52,90110,90086,90099,0.902002,0.901762,0.901892,0.0563682,99898,77,87,11264,0,28.6,115,0.000647333
